Time	BL_Ankle PF E	BL_Ankle PF F	BL_Hip PF E	BL_Hip PF F	BL_Knee PF E	BL_Knee PF F	
0	-0.052592	-0.052592	-0.052592	-0.052592	-0.052592	-0.052592	
0.00208	-0.05500877	-0.05500877	-0.05501311	-0.05500877	-0.05500877	-0.05500877	
0.00416	-0.05789438	-0.0578714	-0.05788955	-0.05787275	-0.05787447	-0.05789103	
0.00624	-0.05985325	-0.05985525	-0.05985205	-0.05984603	-0.05984965	-0.0598725	
0.00832	-0.06083493	-0.0608514	-0.060837	-0.06084222	-0.06084727	-0.06087325	
0.0104	-0.06114702	-0.06115279	-0.06114651	-0.06115387	-0.06115771	-0.06118094	
0.01248	-0.06114215	-0.06113973	-0.06112601	-0.06114176	-0.06113157	-0.06115125	
0.01456	-0.06099866	-0.06099159	-0.06096651	-0.06099043	-0.06096976	-0.06099794	
0.01664	-0.06081418	-0.06081045	-0.06076351	-0.0607986	-0.0607679	-0.06081371	
0.01872	-0.0606291	-0.06062995	-0.06057763	-0.06060714	-0.06058545	-0.06061946	
0.0208	-0.0604473	-0.06046982	-0.06039926	-0.06042128	-0.06041347	-0.06044814	
0.02288	-0.0603046	-0.06032165	-0.06026224	-0.06027228	-0.06027003	-0.06030578	
0.02496	-0.06017498	-0.0601989	-0.06014994	-0.06013891	-0.06015996	-0.06018738	
0.02704	-0.06007516	-0.06008802	-0.06005789	-0.06003877	-0.06007143	-0.06009011	
0.02912	-0.05998066	-0.06000778	-0.05997935	-0.05995094	-0.0599841	-0.05999644	
0.0312	-0.05992126	-0.05994368	-0.05992438	-0.05988513	-0.05990615	-0.05991873	
0.03328	-0.05987466	-0.05990239	-0.05988836	-0.05984563	-0.05985841	-0.0598705	
0.03536	-0.05984954	-0.05988073	-0.05986319	-0.05981183	-0.0598403	-0.05983372	
0.03744	-0.05983139	-0.05986371	-0.05984326	-0.05978621	-0.05984112	-0.05982769	
0.03952	-0.05983189	-0.0598666	-0.0598281	-0.05979438	-0.05985734	-0.05981624	
0.0416	-0.05983378	-0.05987188	-0.05982139	-0.05979131	-0.0598745	-0.05981306	
0.04368	-0.05982818	-0.05987868	-0.05982881	-0.05980475	-0.05987019	-0.05982038	
0.04576	-0.05982986	-0.05988466	-0.05983275	-0.05981947	-0.05985902	-0.05983029	
0.04784	-0.05981383	-0.05989206	-0.05982875	-0.05982105	-0.05985193	-0.05983898	
0.04992	-0.05980795	-0.05988335	-0.05983986	-0.05982528	-0.05985707	-0.05984361	
0.052	-0.0597959	-0.05987585	-0.05984601	-0.05982001	-0.05986272	-0.05983319	
0.05408	-0.05978689	-0.05987293	-0.05983359	-0.05980222	-0.05986878	-0.05980948	
0.05616	-0.05978754	-0.05987609	-0.05982365	-0.05979581	-0.05986953	-0.05980013	
0.05824	-0.05977927	-0.05987676	-0.05982477	-0.05977647	-0.05986265	-0.05979259	
0.06032	-0.05975606	-0.05987543	-0.05982218	-0.05976618	-0.05985635	-0.05977203	
0.0624	-0.05974633	-0.05987485	-0.05983438	-0.05974778	-0.05985389	-0.05975702	
0.06448	-0.05974024	-0.05985676	-0.05982767	-0.05974995	-0.05984155	-0.0597559	
0.06656	-0.05973808	-0.05984797	-0.05981576	-0.05974477	-0.05984722	-0.05975952	
0.06864	-0.0597242	-0.05985469	-0.05979916	-0.0597508	-0.05984444	-0.05974684	
0.07071999	-0.05971634	-0.05984243	-0.05978578	-0.05974532	-0.05982812	-0.05974026	
0.0728	-0.05970774	-0.05984079	-0.05978357	-0.05974498	-0.05983149	-0.05972112	
0.07488	-0.05969454	-0.05984955	-0.05977336	-0.05975116	-0.05983758	-0.05970772	
0.07696	-0.05968402	-0.05985935	-0.05977302	-0.05975831	-0.05984767	-0.05968685	
0.07904	-0.05968395	-0.05985213	-0.05978134	-0.05975318	-0.05985751	-0.05967921	
0.08112	-0.05968048	-0.05985263	-0.05978734	-0.05975718	-0.05986401	-0.05966202	
0.0832	-0.05967837	-0.05984668	-0.05979022	-0.05975008	-0.05985181	-0.05964949	
0.08528	-0.05966362	-0.05984153	-0.05977271	-0.05974806	-0.0598343	-0.05964166	
0.08735999	-0.0596363	-0.05982285	-0.05975813	-0.05972758	-0.05982515	-0.05962315	
0.08944	-0.05961825	-0.05980448	-0.05975104	-0.05971472	-0.05983294	-0.05959949	
0.09152	-0.05959721	-0.05979855	-0.05975113	-0.05971156	-0.05983559	-0.05958311	
0.0936	-0.05957966	-0.05980724	-0.05975283	-0.05971641	-0.05984743	-0.05958837	
0.09568	-0.05958241	-0.05981813	-0.05974781	-0.05971366	-0.05986511	-0.05957975	
0.09776	-0.05950946	-0.05982625	-0.05973808	-0.05970811	-0.05970283	-0.0595688	
0.09984	-0.05945838	-0.05983972	-0.05961351	-0.05968894	-0.05959339	-0.05955227	
0.10192	-0.05941853	-0.05985656	-0.05952789	-0.05968158	-0.05951136	-0.05955326	
0.104	-0.05938701	-0.05987957	-0.05946304	-0.05969862	-0.0594495	-0.05959895	
0.10608	-0.05936148	-0.05991456	-0.0594135	-0.05973001	-0.05940207	-0.05965032	
0.10816	-0.05934028	-0.0599539	-0.05937495	-0.05975924	-0.05936504	-0.05969989	
0.11024	-0.05932223	-0.05998147	-0.05934434	-0.05979276	-0.05933553	-0.05976356	
0.11232	-0.05930648	-0.06001035	-0.05931948	-0.05983986	-0.05931147	-0.05982249	
0.1144	-0.0592924	-0.06003639	-0.05929881	-0.05989793	-0.05929138	-0.05987304	
0.11648	-0.05927956	-0.06006318	-0.05928119	-0.05994167	-0.05927419	-0.05993487	
0.11856	-0.05926763	-0.06008122	-0.05926579	-0.05997744	-0.05925912	-0.05998844	
0.12064	-0.05925639	-0.0600841	-0.05925204	-0.06001469	-0.05924562	-0.06002625	
0.12272	-0.05924568	-0.06009892	-0.05923951	-0.06004127	-0.05923327	-0.06006716	
0.1248	-0.05923535	-0.06011621	-0.05922788	-0.06006449	-0.0592218	-0.06008926	
0.12688	-0.05922534	-0.06011312	-0.05921693	-0.06008785	-0.05921097	-0.06010704	
0.12896	-0.05921557	-0.06010257	-0.0592065	-0.06011321	-0.05920063	-0.06013452	
0.13104	-0.05920599	-0.0601013	-0.05919646	-0.06013954	-0.05919068	-0.0601515	
0.13312	-0.05919658	-0.06009748	-0.05918673	-0.06015466	-0.05918102	-0.06016452	
0.1352	-0.05918731	-0.06010568	-0.05917725	-0.06017008	-0.0591716	-0.06017193	
0.13728	-0.05917816	-0.06011358	-0.05916796	-0.06017439	-0.05916237	-0.06018124	
0.13936	-0.05916912	-0.0601316	-0.05915884	-0.06017217	-0.05915331	-0.06017918	
0.14144	-0.05916017	-0.06013861	-0.05914985	-0.06017587	-0.05914437	-0.0601703	
0.14352	-0.05915131	-0.06015023	-0.05914099	-0.06017626	-0.05913556	-0.06017894	
0.1456	-0.05914253	-0.06014291	-0.05913223	-0.0601777	-0.05912685	-0.06019479	
0.14768	-0.05913384	-0.06013836	-0.05912357	-0.06017876	-0.05911824	-0.0602095	
0.14976	-0.05912522	-0.06013694	-0.059115	-0.06018109	-0.05910971	-0.06020321	
0.15184	-0.05911667	-0.0601364	-0.05910651	-0.06019254	-0.05910126	-0.06020682	
0.15392	-0.0591082	-0.06014776	-0.0590981	-0.06018417	-0.0590929	-0.06021483	
0.156	-0.0590998	-0.06014335	-0.05908977	-0.06018961	-0.05908461	-0.06021835	
0.15808	-0.05909147	-0.06013753	-0.05908151	-0.06019158	-0.05907639	-0.06021474	
0.16016	-0.0590832	-0.06013348	-0.05907332	-0.0601879	-0.05906824	-0.06020794	
0.16224	-0.05907501	-0.06012556	-0.0590652	-0.06018663	-0.05906016	-0.06021237	
0.16432	-0.05906689	-0.06011586	-0.05905715	-0.06018838	-0.05905216	-0.06020772	
0.1664	-0.05905883	-0.06011736	-0.05904917	-0.06019953	-0.05904422	-0.06020095	
0.16848	-0.05905084	-0.06012367	-0.05904125	-0.06018925	-0.05903634	-0.06020648	
0.17056	-0.05904291	-0.06013728	-0.05903341	-0.06017442	-0.05902854	-0.0602044	
0.17264	-0.05903505	-0.06014835	-0.05902562	-0.06017919	-0.05902079	-0.06019282	
0.17472	-0.05902726	-0.06015629	-0.05901791	-0.06016819	-0.05901312	-0.06018217	
0.1768	-0.05901953	-0.06015923	-0.05901026	-0.06016614	-0.05900551	-0.06017984	
0.17888	-0.05901187	-0.06015145	-0.05900267	-0.06016593	-0.05899796	-0.06018807	
0.18096	-0.05900427	-0.06015223	-0.05899515	-0.06016014	-0.05899048	-0.06019861	
0.18304	-0.05899673	-0.06015194	-0.05898769	-0.06016002	-0.05898307	-0.06019172	
0.18512	-0.05898926	-0.06014559	-0.0589803	-0.06016325	-0.05897571	-0.06019974	
0.1872	-0.05898185	-0.06014558	-0.05897297	-0.06017385	-0.05896842	-0.06019717	
0.18928	-0.05897451	-0.06014451	-0.0589657	-0.06017562	-0.05896119	-0.06019847	
0.19136	-0.05896723	-0.06014532	-0.05895849	-0.06018087	-0.05895402	-0.06020738	
0.19344	-0.05896001	-0.06014098	-0.05895135	-0.06018134	-0.05894692	-0.06021365	
0.19552	-0.05895286	-0.0601389	-0.05894427	-0.06019173	-0.05893988	-0.0602171	
0.1976	-0.05894576	-0.06015336	-0.05893725	-0.0601819	-0.0589329	-0.06020316	
0.19968	-0.05893873	-0.06016533	-0.0589303	-0.06017404	-0.05892598	-0.06019495	
0.20176	-0.05893176	-0.0601631	-0.0589234	-0.06017163	-0.05891912	-0.06018897	
0.20384	-0.05892485	-0.06015519	-0.05891657	-0.06017172	-0.05891233	-0.06019787	
0.20592	-0.058918	-0.06015357	-0.05890979	-0.06018171	-0.05890559	-0.06019659	
0.208	-0.05891122	-0.06016206	-0.05890308	-0.06019409	-0.05889891	-0.06018895	
0.21008	-0.05890449	-0.06015413	-0.05889642	-0.06019123	-0.05889229	-0.06017562	
0.21216	-0.05889782	-0.06015484	-0.05888982	-0.06019909	-0.05888573	-0.06015982	
0.21424	-0.05889121	-0.06015095	-0.05888329	-0.06021008	-0.05887924	-0.06015033	
0.21632	-0.05888467	-0.06014255	-0.05887681	-0.06021471	-0.0588728	-0.06014664	
0.2184	-0.05887818	-0.0601315	-0.05887039	-0.06020029	-0.05886642	-0.06015304	
0.22048	-0.05887175	-0.06013391	-0.05886403	-0.06020325	-0.05886009	-0.06014919	
0.22256	-0.05886538	-0.06013204	-0.05885774	-0.06019317	-0.05885382	-0.06014755	
0.22464	-0.05885906	-0.06012601	-0.05885149	-0.06018892	-0.05884762	-0.06015105	
0.22672	-0.0588528	-0.06011624	-0.0588453	-0.06018345	-0.05884146	-0.06015183	
0.2288	-0.0588466	-0.06011607	-0.05883917	-0.06019276	-0.05883537	-0.06015597	
0.23088	-0.05884046	-0.06013343	-0.0588331	-0.06020304	-0.05882933	-0.06016225	
0.23296	-0.05883438	-0.06015408	-0.05882708	-0.06020927	-0.05882335	-0.06016666	
0.23504	-0.05882835	-0.06016648	-0.05882112	-0.06021659	-0.05881742	-0.06015785	
0.23712	-0.05882237	-0.06016919	-0.05881521	-0.06022148	-0.05881155	-0.06015598	
0.2392	-0.05881646	-0.06017429	-0.05880937	-0.0602118	-0.05880574	-0.06016937	
0.24128	-0.0588106	-0.06018588	-0.05880357	-0.06021222	-0.05879998	-0.06017806	
0.24336	-0.05880479	-0.06017948	-0.05879783	-0.06020616	-0.05879427	-0.06019048	
0.24544	-0.05879904	-0.06016475	-0.05879215	-0.06019593	-0.05878862	-0.06018443	
0.24752	-0.05879334	-0.06016349	-0.05878652	-0.06018487	-0.05878302	-0.06019174	
0.2496	-0.0587877	-0.06017364	-0.05878094	-0.06019122	-0.05877748	-0.06018045	
0.25168	-0.05878211	-0.06017978	-0.05877541	-0.06018	-0.05877199	-0.06017188	
0.25376	-0.05877658	-0.06018285	-0.05876994	-0.06017094	-0.05876655	-0.06016852	
0.25584	-0.05877109	-0.06018213	-0.05876452	-0.0601601	-0.05876116	-0.06016838	
0.25792	-0.05876566	-0.06018521	-0.05875916	-0.06014649	-0.05875583	-0.06017207	
0.26	-0.05876029	-0.06018288	-0.05875384	-0.06014083	-0.05875055	-0.0601846	
0.26208	-0.05875496	-0.06018873	-0.05874858	-0.06014039	-0.05874532	-0.06018449	
0.26416	-0.05874969	-0.06017497	-0.05874337	-0.06015072	-0.05874014	-0.06017468	
0.26624	-0.05874446	-0.06017492	-0.05873821	-0.06014843	-0.05873501	-0.06016487	
0.26832	-0.05873929	-0.06016677	-0.0587331	-0.06014918	-0.05872993	-0.06015641	
0.2704	-0.05873417	-0.06016529	-0.05872804	-0.06015962	-0.0587249	-0.06014836	
0.27248	-0.0587291	-0.06017173	-0.05872303	-0.06015665	-0.05871993	-0.06014161	
0.27456	-0.05872408	-0.06017651	-0.05871807	-0.06016947	-0.058715	-0.06014109	
0.27664	-0.05871911	-0.0601768	-0.05871316	-0.06016468	-0.05871012	-0.06014374	
0.27872	-0.0587142	-0.06016505	-0.0587083	-0.06016454	-0.05870529	-0.06014864	
0.2808	-0.05870932	-0.06016252	-0.05870349	-0.06016988	-0.05870051	-0.0601419	
0.28288	-0.0587045	-0.06015883	-0.05869872	-0.06017458	-0.05869577	-0.06013258	
