Time	BL_Ankle MN E	BL_Ankle MN F	BL_Hip MN E	BL_Hip MN F	BL_Knee MN E	BL_Knee MN F	
0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	
0.00208	-0.03100361	-0.06071148	-0.04022976	-0.04536065	-0.02310688	-0.05297639	
0.00416	-0.03448565	-0.05840638	-0.04143777	-0.04541949	-0.02829972	-0.05159304	
0.00624	-0.0497096	-0.06884745	-0.05578816	-0.05893139	-0.04315966	-0.06374602	
0.00832	-0.07060216	-0.08173329	-0.07415167	-0.07592946	-0.06644288	-0.07878833	
0.0104	-0.08264363	-0.08893438	-0.08458795	-0.08558072	-0.08019717	-0.08715703	
0.01248	-0.08928172	-0.09297254	-0.09037302	-0.09094895	-0.0877698	-0.09185179	
0.01456	-0.09320387	-0.09542029	-0.09382427	-0.09416615	-0.09224168	-0.09470102	
0.01664	-0.0956248	-0.09700387	-0.0959876	-0.09620307	-0.09500162	-0.09653858	
0.01872	-0.09715644	-0.09803433	-0.09738216	-0.09751924	-0.09675382	-0.09773152	
0.0208	-0.09814382	-0.09870782	-0.09828665	-0.09837454	-0.0978831	-0.0985099	
0.02288	-0.09878491	-0.09914941	-0.09887604	-0.09893276	-0.09861524	-0.09901964	
0.02496	-0.09920289	-0.09943959	-0.09926146	-0.09929824	-0.09909207	-0.09935432	
0.02704	-0.09947629	-0.09963056	-0.09951413	-0.09953808	-0.0994037	-0.09957445	
0.02912	-0.09965552	-0.09975637	-0.0996801	-0.09969573	-0.09960788	-0.09971941	
0.0312	-0.09937304	-0.0998393	-0.09948645	-0.09919675	-0.09925859	-0.09978093	
0.03328	-0.09797439	-0.09948431	-0.09855993	-0.09807259	-0.09671019	-0.09908295	
0.03536	-0.09614846	-0.09895336	-0.09744719	-0.09687598	-0.09374649	-0.09817532	
0.03744	-0.09451264	-0.09845398	-0.09638684	-0.09572139	-0.09143896	-0.09725226	
0.03952	-0.09315427	-0.09801235	-0.09544584	-0.09470251	-0.09007858	-0.09661017	
0.0416	-0.0923317	-0.09775029	-0.0946542	-0.09416207	-0.08970141	-0.09609838	
0.04368	-0.09186681	-0.09761964	-0.09407178	-0.09379511	-0.08994351	-0.09574128	
0.04576	-0.09148315	-0.097583	-0.09381012	-0.09372156	-0.08999427	-0.09557397	
0.04784	-0.09128135	-0.0976008	-0.09369879	-0.09384336	-0.08974002	-0.09555139	
0.04992	-0.09086766	-0.09766334	-0.09357265	-0.09393793	-0.08940282	-0.09561258	
0.052	-0.09050778	-0.09764197	-0.09363986	-0.09404528	-0.08933216	-0.09569229	
