Time	BR_Ankle PF E	BR_Ankle PF F	BR_Hip PF E	BR_Hip PF F	BR_Knee PF E	BR_Knee PF F	
0	-0.052592	-0.052592	-0.052592	-0.052592	-0.052592	-0.052592	
0.00208	-0.05500877	-0.05500877	-0.05501311	-0.05500877	-0.05500877	-0.05500877	
0.00416	-0.05788432	-0.05788258	-0.05789154	-0.05789319	-0.05787879	-0.05788054	
0.00624	-0.05986461	-0.05985308	-0.05986389	-0.05985701	-0.05985085	-0.05984587	
0.00832	-0.06085524	-0.06085628	-0.06084522	-0.06085777	-0.06084205	-0.06084779	
0.0104	-0.06115004	-0.06115093	-0.06114343	-0.06115213	-0.0611459	-0.06114696	
0.01248	-0.06113099	-0.06114087	-0.06113086	-0.06112417	-0.06113967	-0.06113973	
0.01456	-0.06098774	-0.0609839	-0.06098362	-0.06098245	-0.06099721	-0.06098644	
0.01664	-0.06079542	-0.06079376	-0.06078421	-0.06080412	-0.0607969	-0.06079792	
0.01872	-0.06061235	-0.06061036	-0.06057905	-0.060625	-0.06060306	-0.06061197	
0.0208	-0.06043652	-0.06043823	-0.06039909	-0.06044931	-0.06042228	-0.06043593	
0.02288	-0.06027678	-0.06028565	-0.06025296	-0.06030708	-0.06028183	-0.06027982	
0.02496	-0.06014439	-0.06016385	-0.06013242	-0.06018947	-0.06017133	-0.06016608	
0.02704	-0.06004243	-0.06006393	-0.06002914	-0.06007924	-0.06007826	-0.06006595	
0.02912	-0.05996949	-0.05997811	-0.05994197	-0.0599963	-0.06000658	-0.0599741	
0.0312	-0.05990593	-0.05991479	-0.05988982	-0.05992036	-0.05993762	-0.05989931	
0.03328	-0.05984853	-0.05986643	-0.05983771	-0.05985827	-0.05987258	-0.0598442	
0.03536	-0.05981574	-0.05983763	-0.0598125	-0.05983358	-0.0598392	-0.05980235	
0.03744	-0.05980569	-0.05982448	-0.059804	-0.05983175	-0.05983411	-0.05977369	
0.03952	-0.05980117	-0.05983075	-0.0598079	-0.05983318	-0.05984141	-0.05976946	
0.0416	-0.05979801	-0.05984405	-0.05981901	-0.0598373	-0.05985453	-0.05978281	
0.04368	-0.05981461	-0.05985704	-0.05984008	-0.05983954	-0.05986027	-0.05979988	
0.04576	-0.05981232	-0.05986081	-0.0598373	-0.05982928	-0.05987187	-0.05980971	
0.04784	-0.05982262	-0.05985563	-0.05983461	-0.05981204	-0.05986652	-0.05982229	
0.04992	-0.0598262	-0.05985279	-0.05983718	-0.05979272	-0.05985117	-0.059816	
0.052	-0.05982609	-0.0598582	-0.05982719	-0.05977573	-0.05985049	-0.05981953	
0.05408	-0.05981779	-0.05986644	-0.05982659	-0.0597759	-0.05983527	-0.05981444	
0.05616	-0.05981693	-0.05984888	-0.05982386	-0.05978772	-0.05981452	-0.05981784	
0.05824	-0.0598068	-0.05983593	-0.05982465	-0.05978704	-0.05980531	-0.0598212	
0.06032	-0.05979347	-0.05983065	-0.0598181	-0.05979564	-0.05979259	-0.05982649	
0.0624	-0.05979136	-0.05983314	-0.05981404	-0.05980524	-0.05979691	-0.05983394	
0.06448	-0.05978588	-0.05983536	-0.05980301	-0.05981389	-0.05979844	-0.05983875	
0.06656	-0.05978055	-0.05983399	-0.05980031	-0.05980361	-0.05980035	-0.05982518	
0.06864	-0.05976204	-0.05981635	-0.05979827	-0.05980435	-0.05977855	-0.05982126	
0.07071999	-0.05974543	-0.05981708	-0.05980304	-0.05980422	-0.05975822	-0.05982284	
0.0728	-0.05974751	-0.05981419	-0.05979686	-0.05979361	-0.05973345	-0.05981577	
0.07488	-0.05975472	-0.05982029	-0.05978893	-0.05978244	-0.05971951	-0.05982149	
0.07696	-0.0597486	-0.05980441	-0.05976908	-0.05977899	-0.05970401	-0.05982083	
0.07904	-0.05974836	-0.05978929	-0.05976051	-0.05976375	-0.05970562	-0.05980536	
0.08112	-0.05972892	-0.05977147	-0.05975541	-0.05974967	-0.05968754	-0.05980449	
0.0832	-0.05970908	-0.05976046	-0.05974111	-0.05973512	-0.05968707	-0.05980935	
0.08528	-0.05970713	-0.05974774	-0.05974209	-0.05972026	-0.05968687	-0.05979935	
0.08735999	-0.05970505	-0.05975268	-0.05973378	-0.0597105	-0.05968136	-0.05978579	
0.08944	-0.059716	-0.05974957	-0.05973177	-0.05971687	-0.05968884	-0.05978212	
0.09152	-0.05972989	-0.0597586	-0.05972659	-0.05972042	-0.05968635	-0.0597679	
0.0936	-0.05973785	-0.05975204	-0.05971972	-0.05973483	-0.05968007	-0.05977531	
0.09568	-0.05973531	-0.0597271	-0.05972793	-0.05972731	-0.05967963	-0.05977062	
0.09776	-0.05973505	-0.05962927	-0.05972503	-0.05966648	-0.05966862	-0.05969272	
0.09984	-0.05972215	-0.05954048	-0.05972216	-0.05956594	-0.05966646	-0.05958434	
0.10192	-0.05971842	-0.05947473	-0.05971499	-0.05949402	-0.05966969	-0.05950654	
0.104	-0.05974447	-0.05942448	-0.05973886	-0.05943921	-0.05968613	-0.05944752	
0.10608	-0.05977432	-0.05938544	-0.05976323	-0.0593969	-0.05970981	-0.05940216	
0.10816	-0.05981514	-0.05935448	-0.05981327	-0.05936357	-0.05975224	-0.05936663	
0.11024	-0.05985073	-0.05932936	-0.05987038	-0.05933674	-0.05980785	-0.05933821	
0.11232	-0.05989193	-0.05930849	-0.05993142	-0.05931463	-0.05986835	-0.05931494	
0.1144	-0.05993557	-0.05929071	-0.05998697	-0.05929594	-0.05993205	-0.05929542	
0.11648	-0.05998276	-0.0592752	-0.06003774	-0.05927976	-0.05996993	-0.05927863	
0.11856	-0.06001367	-0.05926134	-0.06006673	-0.05926541	-0.05999796	-0.05926385	
0.12064	-0.06004151	-0.05924872	-0.06008998	-0.05925243	-0.06003205	-0.05925055	
0.12272	-0.06005597	-0.059237	-0.06011846	-0.05924044	-0.06006086	-0.05923834	
0.1248	-0.06006584	-0.05922598	-0.06014494	-0.05922921	-0.06008052	-0.05922695	
0.12688	-0.06007526	-0.05921547	-0.06015965	-0.05921855	-0.06008934	-0.05921618	
0.12896	-0.06009869	-0.05920536	-0.06017077	-0.05920833	-0.06009981	-0.05920588	
0.13104	-0.06012266	-0.05919556	-0.06017658	-0.05919844	-0.06012058	-0.05919594	
0.13312	-0.06014579	-0.059186	-0.06017414	-0.05918881	-0.06012886	-0.05918628	
0.1352	-0.06015303	-0.05917665	-0.06017582	-0.0591794	-0.06012716	-0.05917685	
0.13728	-0.06015078	-0.05916746	-0.06016689	-0.05917016	-0.06013446	-0.0591676	
0.13936	-0.06014688	-0.05915841	-0.06016147	-0.05916106	-0.06013829	-0.0591585	
0.14144	-0.06015462	-0.05914948	-0.06015155	-0.0591521	-0.06014094	-0.05914954	
0.14352	-0.06015621	-0.05914065	-0.06015339	-0.05914324	-0.06015864	-0.0591407	
0.1456	-0.06016739	-0.05913192	-0.06014421	-0.05913449	-0.06016044	-0.05913195	
0.14768	-0.06018389	-0.05912329	-0.06014821	-0.05912582	-0.06016202	-0.0591233	
0.14976	-0.06018378	-0.05911473	-0.06015658	-0.05911724	-0.0601711	-0.05911474	
0.15184	-0.06017953	-0.05910626	-0.06016646	-0.05910874	-0.06017544	-0.05910626	
0.15392	-0.06018328	-0.05909786	-0.06017536	-0.05910032	-0.0601654	-0.05909785	
0.156	-0.06019172	-0.05908953	-0.06018259	-0.05909197	-0.06016138	-0.05908952	
0.15808	-0.06020229	-0.05908128	-0.06019186	-0.0590837	-0.06017288	-0.05908126	
0.16016	-0.06021618	-0.05907309	-0.06020071	-0.05907549	-0.06016741	-0.05907308	
0.16224	-0.06021209	-0.05906498	-0.06018952	-0.05906736	-0.0601581	-0.05906496	
0.16432	-0.06020194	-0.05905693	-0.06019025	-0.05905929	-0.06015298	-0.05905692	
0.1664	-0.06019758	-0.05904895	-0.06018451	-0.05905129	-0.06014158	-0.05904894	
0.16848	-0.06019935	-0.05904104	-0.06019091	-0.05904336	-0.06012924	-0.05904102	
0.17056	-0.06019734	-0.0590332	-0.06018442	-0.0590355	-0.06012342	-0.05903318	
0.17264	-0.06018389	-0.05902542	-0.06017913	-0.0590277	-0.06013345	-0.0590254	
0.17472	-0.06016707	-0.0590177	-0.06017733	-0.05901997	-0.06013398	-0.05901768	
0.1768	-0.06014887	-0.05901005	-0.06017412	-0.0590123	-0.06012885	-0.05901004	
0.17888	-0.06015148	-0.05900247	-0.06017256	-0.05900469	-0.06014263	-0.05900245	
0.18096	-0.06015914	-0.05899495	-0.06017881	-0.05899716	-0.06016197	-0.05899493	
0.18304	-0.06016705	-0.05898749	-0.06019338	-0.05898968	-0.06016753	-0.05898748	
0.18512	-0.0601595	-0.0589801	-0.06019785	-0.05898227	-0.06016371	-0.05898008	
0.1872	-0.06015495	-0.05897278	-0.06019527	-0.05897493	-0.0601537	-0.05897276	
0.18928	-0.06015195	-0.05896551	-0.06018326	-0.05896764	-0.06015283	-0.05896549	
0.19136	-0.06015592	-0.05895831	-0.0601901	-0.05896042	-0.06016791	-0.05895829	
0.19344	-0.06015302	-0.05895117	-0.06019589	-0.05895326	-0.06017706	-0.05895115	
0.19552	-0.06015613	-0.05894408	-0.06019572	-0.05894616	-0.06017565	-0.05894407	
0.1976	-0.06015407	-0.05893707	-0.06020026	-0.05893913	-0.06017834	-0.05893705	
0.19968	-0.0601604	-0.05893011	-0.06019753	-0.05893215	-0.06017568	-0.0589301	
0.20176	-0.06016337	-0.05892322	-0.06019716	-0.05892524	-0.06016528	-0.0589232	
0.20384	-0.06016415	-0.05891639	-0.06018625	-0.05891839	-0.06017285	-0.05891637	
0.20592	-0.06015475	-0.05890961	-0.06018909	-0.0589116	-0.06016645	-0.0589096	
0.208	-0.06016381	-0.0589029	-0.06017649	-0.05890487	-0.06017694	-0.05890288	
0.21008	-0.06017604	-0.05889625	-0.06016576	-0.0588982	-0.06017068	-0.05889623	
0.21216	-0.06018737	-0.05888965	-0.06017077	-0.05889159	-0.0601758	-0.05888963	
0.21424	-0.06019701	-0.05888312	-0.06017471	-0.05888503	-0.06018629	-0.0588831	
0.21632	-0.06020661	-0.05887664	-0.06018659	-0.05887854	-0.06018154	-0.05887663	
0.2184	-0.06019912	-0.05887023	-0.06018832	-0.05887211	-0.06017129	-0.05887021	
0.22048	-0.06019602	-0.05886387	-0.06019051	-0.05886573	-0.06017455	-0.05886385	
0.22256	-0.06020307	-0.05885757	-0.06018247	-0.05885942	-0.06017568	-0.05885755	
0.22464	-0.06019905	-0.05885132	-0.06017432	-0.05885316	-0.06018478	-0.05885131	
0.22672	-0.0601837	-0.05884514	-0.06016225	-0.05884695	-0.06018229	-0.05884513	
0.2288	-0.06018604	-0.05883901	-0.06016706	-0.05884081	-0.06018741	-0.058839	
0.23088	-0.06018269	-0.05883294	-0.06016935	-0.05883472	-0.06018452	-0.05883292	
0.23296	-0.06018077	-0.05882692	-0.06016389	-0.05882869	-0.06019233	-0.05882691	
0.23504	-0.06018855	-0.05882097	-0.06017226	-0.05882271	-0.06019012	-0.05882095	
0.23712	-0.06019802	-0.05881506	-0.06016856	-0.05881679	-0.06018025	-0.05881505	
0.2392	-0.0602011	-0.05880921	-0.06017295	-0.05881093	-0.06017617	-0.0588092	
0.24128	-0.06020702	-0.05880342	-0.06017498	-0.05880512	-0.06017445	-0.05880341	
0.24336	-0.06020104	-0.05879768	-0.06018258	-0.05879936	-0.06017015	-0.05879767	
0.24544	-0.06018586	-0.058792	-0.06018312	-0.05879366	-0.06016101	-0.05879198	
0.24752	-0.0601897	-0.05878637	-0.06017992	-0.05878802	-0.0601505	-0.05878635	
0.2496	-0.06018735	-0.05878079	-0.06017385	-0.05878242	-0.06014584	-0.05878078	
0.25168	-0.06019097	-0.05877527	-0.06017513	-0.05877689	-0.06015474	-0.05877525	
0.25376	-0.06018166	-0.0587698	-0.06018543	-0.0587714	-0.06017282	-0.05876978	
0.25584	-0.06017978	-0.05876438	-0.06019136	-0.05876597	-0.0601886	-0.05876437	
0.25792	-0.06017095	-0.05875902	-0.06020394	-0.05876059	-0.06020588	-0.058759	
0.26	-0.06016181	-0.0587537	-0.06021304	-0.05875526	-0.06022174	-0.05875369	
0.26208	-0.06015285	-0.05874844	-0.06022272	-0.05874998	-0.06022359	-0.05874843	
0.26416	-0.0601454	-0.05874323	-0.06021611	-0.05874476	-0.06022564	-0.05874322	
0.26624	-0.06014268	-0.05873807	-0.06020587	-0.05873958	-0.06021953	-0.05873806	
0.26832	-0.06015626	-0.05873296	-0.06020742	-0.05873446	-0.06021128	-0.05873295	
0.2704	-0.06017412	-0.05872791	-0.0601996	-0.05872939	-0.06021431	-0.05872789	
0.27248	-0.06018011	-0.0587229	-0.06018123	-0.05872437	-0.06020346	-0.05872289	
0.27456	-0.06019053	-0.05871794	-0.06018012	-0.05871939	-0.06018981	-0.05871793	
0.27664	-0.06019803	-0.05871303	-0.06017516	-0.05871447	-0.06018443	-0.05871302	
0.27872	-0.06019635	-0.05870817	-0.06016601	-0.0587096	-0.06018405	-0.05870816	
0.2808	-0.06019014	-0.05870336	-0.06015636	-0.05870477	-0.0601832	-0.05870335	
0.28288	-0.06018384	-0.0586986	-0.06015259	-0.0587	-0.06019193	-0.05869859	
