Time	BR_Ankle MN E	BR_Ankle MN F	BR_Hip MN E	BR_Hip MN F	BR_Knee MN E	BR_Knee MN F	
0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	
0.00208	-0.03100361	-0.06071148	-0.04022976	-0.04536065	-0.02310688	-0.05297639	
0.00416	-0.03448565	-0.05840638	-0.04143777	-0.04541949	-0.02829972	-0.05159304	
0.00624	-0.04965207	-0.06888901	-0.05579831	-0.05902862	-0.04318669	-0.06370144	
0.00832	-0.0706896	-0.08174935	-0.07424703	-0.07606319	-0.06648128	-0.07859854	
0.0104	-0.08269351	-0.08894262	-0.08463661	-0.08565653	-0.08023533	-0.08704146	
0.01248	-0.08931173	-0.09297717	-0.09040028	-0.0909949	-0.08779933	-0.09177796	
0.01456	-0.09322256	-0.09542325	-0.0938406	-0.09419518	-0.09226258	-0.09465348	
0.01664	-0.09563667	-0.09700579	-0.09599812	-0.09622177	-0.09501575	-0.09650782	
0.01872	-0.09716406	-0.09803558	-0.09738899	-0.09753135	-0.09676287	-0.09771154	
0.0208	-0.09814877	-0.09870864	-0.0982911	-0.09838242	-0.09788892	-0.09849687	
0.02288	-0.09878813	-0.09914996	-0.09887896	-0.09893791	-0.09861899	-0.09901112	
0.02496	-0.099205	-0.09943995	-0.09926337	-0.09930161	-0.0990945	-0.09934873	
0.02704	-0.09947766	-0.0996308	-0.09951539	-0.09954029	-0.09940528	-0.09957078	
0.02912	-0.09965643	-0.09975652	-0.09968092	-0.09969719	-0.09960892	-0.099717	
0.0312	-0.09914362	-0.09968005	-0.09894172	-0.09975476	-0.0997426	-0.09956653	
0.03328	-0.09751719	-0.09917075	-0.09771049	-0.09886158	-0.09794883	-0.09875989	
0.03536	-0.09534957	-0.09849057	-0.09618463	-0.09753612	-0.09492075	-0.09772117	
0.03744	-0.09337544	-0.09784867	-0.09487928	-0.09640253	-0.09213228	-0.09667035	
0.03952	-0.09198225	-0.09734741	-0.09395531	-0.09566867	-0.09032166	-0.09574798	
0.0416	-0.09105951	-0.097073	-0.09343898	-0.09522672	-0.08944609	-0.09512994	
0.04368	-0.09044973	-0.09699142	-0.09327072	-0.09499767	-0.0892822	-0.09485748	
0.04576	-0.09038281	-0.09702975	-0.09344988	-0.09487834	-0.08934671	-0.09483241	
0.04784	-0.09030422	-0.09707858	-0.09352694	-0.09468192	-0.08969383	-0.09489873	
0.04992	-0.09044367	-0.09707158	-0.09354109	-0.0943583	-0.0897669	-0.09504723	
0.052	-0.09059777	-0.09704442	-0.09358768	-0.09393313	-0.0894079	-0.09508218	
