Time	BR_Ankle-Ext Ia	BR_Ankle-Ext Ib	BR_Ankle-Flx II	BR_Ankle-Flx Ia	BR_Ankle-Flx Ib	BR_Hip-Ext II	BR_Hip-Flx II	BR_Hip-Flx Ia	
0	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.00208	-0.06	-0.06034032	-0.06034032	-0.06	-0.06034032	-0.06	-0.06	-0.06004117	
0.00416	-0.06	-0.06056482	-0.06056482	-0.06	-0.06056482	-0.06	-0.06	-0.06008149	
0.00624	-0.06	-0.06071292	-0.06071292	-0.06	-0.06071292	-0.06	-0.06	-0.06012098	
0.00832	-0.06	-0.06081062	-0.06081062	-0.06	-0.06081062	-0.06	-0.06	-0.06015966	
0.0104	-0.06	-0.06087507	-0.06087507	-0.06	-0.06087507	-0.06	-0.06	-0.06019755	
0.01248	-0.06	-0.06091759	-0.06091759	-0.06	-0.06091759	-0.06	-0.06	-0.06023465	
0.01456	-0.06	-0.06094563	-0.06094563	-0.06	-0.06094563	-0.06	-0.06	-0.06027099	
0.01664	-0.06	-0.06096413	-0.06096413	-0.06	-0.06096413	-0.06	-0.06	-0.06030659	
0.01872	-0.06	-0.06097634	-0.06097634	-0.06	-0.06097634	-0.06	-0.06	-0.06034144	
0.0208	-0.06	-0.06098439	-0.06098439	-0.06	-0.06098439	-0.06	-0.06	-0.06037559	
0.02288	-0.06	-0.0609897	-0.0609897	-0.06	-0.0609897	-0.06	-0.06	-0.06040902	
0.02496	-0.06	-0.06099321	-0.06099321	-0.06	-0.06099321	-0.06	-0.06	-0.06044178	
0.02704	-0.06	-0.06099552	-0.06099552	-0.06	-0.06099552	-0.06	-0.06	-0.06047385	
0.02912	-0.06	-0.06099704	-0.06099704	-0.06	-0.06099704	-0.06	-0.06	-0.06050527	
0.0312	-0.06	-0.06099805	-0.06099805	-0.06	-0.06099805	-0.06	-0.06	-0.06053604	
0.03328	-0.06	-0.06099872	-0.06099872	-0.06	-0.06099872	-0.06	-0.06	-0.06056617	
0.03536	-0.06	-0.06099915	-0.06099915	-0.06	-0.06099915	-0.06	-0.06	-0.06059569	
0.03744	-0.06	-0.06099944	-0.06099944	-0.06	-0.06099944	-0.06	-0.06	-0.0606246	
0.03952	-0.06	-0.06099963	-0.06099963	-0.06	-0.06099963	-0.06	-0.06	-0.06065291	
0.0416	-0.06	-0.06099975	-0.06099975	-0.06	-0.06099975	-0.06	-0.06	-0.06068064	
0.04368	-0.06	-0.06099984	-0.06099984	-0.06	-0.06099984	-0.06	-0.06	-0.0607078	
0.04576	-0.06	-0.06099989	-0.06099989	-0.06	-0.06099989	-0.06	-0.06	-0.0607344	
0.04784	-0.06	-0.06099993	-0.06099993	-0.06	-0.06099993	-0.06	-0.06	-0.06076045	
0.04992	-0.06	-0.06099995	-0.06099995	-0.06	-0.06099995	-0.06	-0.06	-0.06078597	
0.052	-0.06	-0.06099997	-0.06099997	-0.06	-0.06099997	-0.06	-0.06	-0.06081096	
0.05408	-0.06	-0.06099998	-0.06099998	-0.06	-0.06099998	-0.06	-0.06	-0.06083544	
0.05616	-0.06	-0.06099999	-0.06099999	-0.06	-0.06099999	-0.06	-0.06	-0.06085941	
0.05824	-0.06	-0.06099999	-0.06099999	-0.06	-0.06099999	-0.06	-0.06	-0.06088289	
0.06032	-0.06	-0.06099999	-0.06099999	-0.06	-0.06099999	-0.06	-0.06	-0.06090588	
0.0624	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.0609284	
0.06448	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06095047	
0.06656	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06097207	
0.06864	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06099323	
0.07071999	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06101396	
0.0728	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06103425	
0.07488	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06105413	
0.07696	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.0610736	
0.07904	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06109267	
0.08112	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06111135	
0.0832	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06112964	
0.08528	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06114756	
0.08735999	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06116511	
0.08944	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06118229	
0.09152	-0.06	-0.0606877	-0.0541936	-0.05999943	-0.06090178	-0.05878108	-0.05319361	-0.06119913	
0.0936	-0.05999893	-0.06046588	-0.04970356	-0.05999945	-0.06084049	-0.05799625	-0.04870356	-0.06121431	
0.09568	-0.0599979	-0.06031956	-0.04674157	-0.05999948	-0.06080007	-0.05747851	-0.04574157	-0.06122918	
0.09776	-0.05999692	-0.06022303	-0.0447876	-0.0599995	-0.0607734	-0.05713697	-0.0437876	-0.06124375	
0.09984	-0.05999597	-0.06015935	-0.04349861	-0.05999952	-0.06075581	-0.05691166	-0.0424986	-0.06125802	
0.10192	-0.05999507	-0.06011734	-0.04264828	-0.05999954	-0.0607442	-0.05676303	-0.04164828	-0.06127199	
0.104	-0.05999419	-0.06008963	-0.04208734	-0.05999956	-0.06073655	-0.05666498	-0.04108734	-0.06128567	
0.10608	-0.05999336	-0.06007135	-0.04171729	-0.05999957	-0.0607315	-0.0566003	-0.0407173	-0.06129908	
0.10816	-0.05999256	-0.06005929	-0.04147318	-0.05999959	-0.06072817	-0.05655763	-0.04047319	-0.06131221	
0.11024	-0.0599918	-0.06005133	-0.04131215	-0.05999961	-0.06072597	-0.05652948	-0.04031215	-0.06132506	
0.11232	-0.05999106	-0.06004608	-0.04120592	-0.05999963	-0.06072452	-0.05651091	-0.04020592	-0.06133766	
0.1144	-0.05999035	-0.06004262	-0.04113584	-0.05999964	-0.06072356	-0.05649867	-0.04013584	-0.06134999	
0.11648	-0.05998968	-0.06004034	-0.04108961	-0.05999966	-0.06072293	-0.05649059	-0.04008961	-0.06136207	
0.11856	-0.05998902	-0.06003883	-0.04105911	-0.05999967	-0.06072251	-0.05648525	-0.04005912	-0.0613739	
0.12064	-0.0599884	-0.06003784	-0.041039	-0.05999968	-0.06072224	-0.05648174	-0.040039	-0.06138549	
0.12272	-0.0599878	-0.06003718	-0.04102572	-0.0599997	-0.06072206	-0.05647942	-0.04002573	-0.06139684	
0.1248	-0.05998723	-0.06003675	-0.04101697	-0.05999971	-0.06072194	-0.05647789	-0.04001697	-0.06140795	
0.12688	-0.05998668	-0.06003647	-0.0410112	-0.05999972	-0.06072186	-0.05647688	-0.04001119	-0.06141884	
0.12896	-0.05998615	-0.06003628	-0.04100738	-0.05999973	-0.06072181	-0.05647621	-0.04000739	-0.0614295	
0.13104	-0.05998671	-0.06005358	-0.04100487	-0.05998936	-0.06071943	-0.05645651	-0.04000487	-0.06144124	
0.13312	-0.05998726	-0.060065	-0.04100321	-0.05997942	-0.06071786	-0.0564435	-0.04000321	-0.06145275	
0.1352	-0.05998778	-0.06007253	-0.04100212	-0.05998026	-0.06071683	-0.05643493	-0.04000212	-0.06146401	
0.13728	-0.05998828	-0.0600775	-0.0410014	-0.05998106	-0.06071614	-0.05642927	-0.0400014	-0.06147505	
0.13936	-0.05998875	-0.06008077	-0.04100092	-0.05998183	-0.06071569	-0.05642554	-0.04000092	-0.06148585	
0.14144	-0.05998921	-0.06008293	-0.04100061	-0.05998258	-0.0607154	-0.05642308	-0.04000061	-0.06149644	
0.14352	-0.05998965	-0.06008436	-0.0410004	-0.05998328	-0.0607152	-0.05642145	-0.0400004	-0.0615068	
0.1456	-0.05990847	-0.06010885	-0.04100027	-0.05998397	-0.0607139	-0.05641841	-0.04000026	-0.06151695	
0.14768	-0.05984692	-0.06033175	-0.04100018	-0.05998462	-0.06063805	-0.05640852	-0.04000017	-0.0615269	
0.14976	-0.05978787	-0.0604788	-0.04100012	-0.05998525	-0.06058802	-0.05640199	-0.04000011	-0.06153664	
0.15184	-0.05973123	-0.0605758	-0.04100008	-0.05998585	-0.06055501	-0.05639769	-0.04000008	-0.06154617	
0.15392	-0.0596769	-0.06063979	-0.04100005	-0.05998642	-0.06053323	-0.05639485	-0.04000005	-0.06155552	
0.156	-0.05962478	-0.06068201	-0.04100003	-0.05998698	-0.06051887	-0.05639297	-0.04000003	-0.06156467	
0.15808	-0.05957479	-0.06070985	-0.04100002	-0.05998751	-0.06050939	-0.05639173	-0.04000002	-0.06157363	
0.16016	-0.05952683	-0.06072822	-0.04100002	-0.05998802	-0.06050314	-0.05639092	-0.04000001	-0.06158241	
0.16224	-0.05948083	-0.06074034	-0.04100001	-0.05998851	-0.06049902	-0.05639038	-0.04000001	-0.061591	
0.16432	-0.0594367	-0.06074833	-0.041	-0.05998897	-0.0604963	-0.05639003	-0.04000001	-0.06159942	
0.1664	-0.05939437	-0.06075361	-0.041	-0.05998942	-0.0604945	-0.05638979	-0.04	-0.06160767	
0.16848	-0.05935376	-0.06075709	-0.041	-0.05998985	-0.06049332	-0.05638964	-0.04	-0.06161574	
0.17056	-0.05931481	-0.06075938	-0.041	-0.05999027	-0.06049254	-0.05638954	-0.04	-0.06162365	
0.17264	-0.05927745	-0.0607609	-0.041	-0.05999066	-0.06049202	-0.05638947	-0.04	-0.0616314	
0.17472	-0.0592416	-0.0607619	-0.041	-0.05999104	-0.06049168	-0.05638942	-0.04	-0.06163899	
0.1768	-0.05920722	-0.06076255	-0.041	-0.05999141	-0.06049146	-0.0563894	-0.04	-0.06164642	
0.17888	-0.05917424	-0.06076299	-0.041	-0.05999176	-0.06049131	-0.05638938	-0.04	-0.0616537	
0.18096	-0.05914261	-0.06076328	-0.041	-0.05999209	-0.06049122	-0.05638937	-0.04	-0.06166083	
0.18304	-0.05911226	-0.06076347	-0.041	-0.05999242	-0.06049115	-0.05638935	-0.04	-0.06166781	
0.18512	-0.05914843	-0.06078601	-0.041	-0.05997812	-0.06052392	-0.05635668	-0.04	-0.06167465	
0.1872	-0.05918313	-0.06080087	-0.041	-0.05996441	-0.06054553	-0.05633512	-0.04	-0.06168135	
0.18928	-0.05921642	-0.06081106	-0.041	-0.05996586	-0.06058205	-0.05632715	-0.04	-0.06168166	
0.19136	-0.05919379	-0.06081403	-0.041	-0.05996725	-0.06060966	-0.05632398	-0.04	-0.06167149	
0.19344	-0.05919959	-0.06081365	-0.041	-0.05996858	-0.0606185	-0.05632189	-0.04	-0.06167825	
0.19552	-0.05920516	-0.06081341	-0.041	-0.05996986	-0.06062433	-0.05632051	-0.04	-0.06168487	
0.1976	-0.0592105	-0.06081324	-0.041	-0.05997109	-0.06062818	-0.05631959	-0.04	-0.06169136	
0.19968	-0.05921562	-0.06081314	-0.041	-0.05997227	-0.06063071	-0.05631899	-0.04	-0.06169771	
0.20176	-0.05922054	-0.06081307	-0.041	-0.0599734	-0.06063239	-0.0563186	-0.04	-0.06170394	
0.20384	-0.0592523	-0.06082111	-0.041	-0.05992879	-0.06063935	-0.05629518	-0.04	-0.06171003	
0.20592	-0.05928276	-0.06082642	-0.041	-0.05988599	-0.06064394	-0.05627974	-0.04	-0.061716	
0.208	-0.05931199	-0.06082992	-0.041	-0.05984494	-0.06064697	-0.05626955	-0.04	-0.06172185	
0.21008	-0.05928562	-0.06082462	-0.041	-0.05985126	-0.06064663	-0.05627764	-0.04	-0.06164952	
0.21216	-0.05931473	-0.06082727	-0.041	-0.05984594	-0.06066046	-0.05627453	-0.04	-0.06165673	
0.21424	-0.05934265	-0.06082902	-0.041	-0.05984084	-0.06066959	-0.05627248	-0.04	-0.0616638	
0.21632	-0.05936944	-0.06083018	-0.041	-0.05983594	-0.06067561	-0.05627112	-0.04	-0.06167072	
0.2184	-0.05939513	-0.06083094	-0.041	-0.05983125	-0.06067958	-0.05627023	-0.04	-0.0616775	
0.22048	-0.05941978	-0.06083145	-0.041	-0.05982675	-0.0606822	-0.05626964	-0.04	-0.06168414	
0.22256	-0.05944342	-0.06084162	-0.041	-0.05975796	-0.06068041	-0.0562714	-0.04	-0.06167949	
0.22464	-0.0594469	-0.06084094	-0.041	-0.05976782	-0.06067923	-0.05627255	-0.04	-0.06168608	
0.22672	-0.05945023	-0.06084049	-0.041	-0.05977728	-0.06067846	-0.05627332	-0.04	-0.06169255	
0.2288	-0.05938571	-0.06083097	-0.041	-0.05978635	-0.06067912	-0.05628846	-0.04	-0.0616054	
0.23088	-0.05941074	-0.06082366	-0.041	-0.05979506	-0.06068541	-0.0562753	-0.04	-0.06161352	
0.23296	-0.05943475	-0.06081884	-0.041	-0.05980341	-0.06068956	-0.05626662	-0.04	-0.06162148	
0.23504	-0.05945779	-0.06083331	-0.041	-0.05967837	-0.06069113	-0.0562694	-0.04	-0.06158467	
0.23712	-0.0594146	-0.06083476	-0.041	-0.05969147	-0.06069216	-0.0562838	-0.04	-0.06151312	
0.2392	-0.05943845	-0.06084131	-0.041	-0.05964715	-0.06069284	-0.0562933	-0.04	-0.06152314	
0.24128	-0.05946133	-0.06084563	-0.041	-0.05960464	-0.06069329	-0.05629956	-0.04	-0.06153296	
0.24336	-0.05948328	-0.06084849	-0.041	-0.05962075	-0.06069359	-0.05630369	-0.04	-0.06154257	
0.24544	-0.05950433	-0.06085362	-0.041	-0.05963621	-0.0606973	-0.05628535	-0.04	-0.06153526	
0.24752	-0.05938883	-0.06084441	-0.041	-0.05965103	-0.06070561	-0.05627962	-0.04	-0.06149465	
0.2496	-0.05898577	-0.06077436	-0.041	-0.05966525	-0.05897697	-0.0562822	-0.04	-0.06148275	
0.25168	-0.05869602	-0.06075561	-0.041	-0.05967889	-0.05762335	-0.05629433	-0.04	-0.06141001	
0.25376	-0.05841807	-0.06074324	-0.041	-0.05969197	-0.05673039	-0.05630232	-0.04	-0.06133876	
0.25584	-0.05815145	-0.06073508	-0.041	-0.05970452	-0.05614132	-0.0563076	-0.04	-0.06126897	
0.25792	-0.0578957	-0.0607297	-0.041	-0.05971656	-0.05575272	-0.05631108	-0.04	-0.06120063	
0.26	-0.05765036	-0.06072615	-0.041	-0.05972811	-0.05549638	-0.05631338	-0.04	-0.06113369	
0.26208	-0.05741502	-0.06072381	-0.041	-0.05973919	-0.05532727	-0.05631489	-0.04	-0.06106813	
0.26416	-0.05718927	-0.06072226	-0.041	-0.05974982	-0.05521571	-0.05631589	-0.04	-0.06100391	
0.26624	-0.05697272	-0.06072124	-0.041	-0.05976001	-0.05514212	-0.05631655	-0.04	-0.06094102	
0.26832	-0.05676499	-0.06072057	-0.041	-0.05976979	-0.05509357	-0.05631699	-0.04	-0.06087943	
0.2704	-0.05656573	-0.06072013	-0.041	-0.05977917	-0.05506155	-0.05631727	-0.04	-0.0608191	
0.27248	-0.05637459	-0.06071983	-0.041	-0.05978817	-0.05504042	-0.05631746	-0.04	-0.06076001	
0.27456	-0.05619123	-0.06071964	-0.041	-0.0597968	-0.05502648	-0.05631759	-0.04	-0.06070215	
0.27664	-0.05601535	-0.06071951	-0.041	-0.05980508	-0.05501729	-0.05631767	-0.04	-0.06064546	
0.27872	-0.05584663	-0.06071943	-0.041	-0.05981302	-0.05501122	-0.05631772	-0.04	-0.06058995	
0.2808	-0.05567743	-0.06042181	-0.041	-0.05982064	-0.05444241	-0.05638795	-0.04	-0.06055637	
0.28288	-0.05585356	-0.06024018	-0.041	-0.05979671	-0.05412458	-0.05643428	-0.04	-0.06058608	
0.28496	-0.05602251	-0.06012037	-0.041	-0.05977375	-0.05391492	-0.05646484	-0.04	-0.06061519	
0.28704	-0.05618458	-0.06004133	-0.041	-0.05975172	-0.0537766	-0.056485	-0.04	-0.0606437	
0.28912	-0.05615507	-0.06014581	-0.041	-0.05976184	-0.05369474	-0.05650737	-0.04	-0.06061712	
0.2912	-0.05631174	-0.06030899	-0.041	-0.0593598	-0.05361495	-0.05652213	-0.04	-0.06064558	
0.29328	-0.05646203	-0.06041664	-0.041	-0.05897413	-0.05356232	-0.05653187	-0.04	-0.06067346	
0.29536	-0.05660619	-0.06048765	-0.041	-0.05860418	-0.0535276	-0.05653829	-0.04	-0.06070077	
0.29744	-0.05674447	-0.06053449	-0.041	-0.05824931	-0.0535047	-0.05654252	-0.04	-0.06072752	
0.29952	-0.05687713	-0.0605654	-0.041	-0.05790889	-0.05348959	-0.05654532	-0.04	-0.06075371	
0.3016	-0.05700437	-0.06058578	-0.041	-0.05758235	-0.05347962	-0.05654716	-0.04	-0.06077937	
0.30368	-0.05712643	-0.06059923	-0.041	-0.05726911	-0.05347305	-0.05654838	-0.04	-0.06080449	
0.30576	-0.05724352	-0.0606081	-0.041	-0.05696863	-0.05346871	-0.05654918	-0.04	-0.0608291	
0.30784	-0.05735584	-0.06061396	-0.041	-0.0566804	-0.05346585	-0.05654971	-0.04	-0.06085321	
0.30992	-0.05746358	-0.06061782	-0.041	-0.05640392	-0.05346396	-0.05655006	-0.04	-0.06087681	
0.312	-0.05756693	-0.06062036	-0.041	-0.05613869	-0.05346271	-0.05655029	-0.04	-0.06089994	
0.31408	-0.05766607	-0.06062204	-0.041	-0.05588428	-0.05346189	-0.05655044	-0.04	-0.06092258	
0.31616	-0.05776117	-0.06062315	-0.041	-0.05564023	-0.05346135	-0.05655054	-0.04	-0.06094476	
0.31824	-0.05785239	-0.06062388	-0.041	-0.05540613	-0.05346099	-0.05655061	-0.04	-0.06096648	
0.32032	-0.0579399	-0.06062436	-0.041	-0.05518156	-0.05346076	-0.05655065	-0.04	-0.06098776	
0.3224	-0.05802384	-0.06062468	-0.041	-0.05496615	-0.0534606	-0.05655068	-0.04	-0.06100859	
0.32448	-0.05810437	-0.06062489	-0.041	-0.05475951	-0.0534605	-0.0565507	-0.04	-0.061029	
0.32656	-0.05818161	-0.06062503	-0.041	-0.05456129	-0.05346043	-0.05655071	-0.04	-0.06104899	
0.32864	-0.0582557	-0.06062512	-0.041	-0.05437115	-0.05346039	-0.05655072	-0.04	-0.06106856	
0.33072	-0.05832677	-0.06062518	-0.041	-0.05418876	-0.05346036	-0.05655072	-0.04	-0.06108774	
0.3328	-0.05839495	-0.06062522	-0.041	-0.0540138	-0.05346034	-0.05655073	-0.04	-0.06110652	
0.33488	-0.05846035	-0.06062525	-0.041	-0.05384596	-0.05346033	-0.05655073	-0.04	-0.06112491	
0.33696	-0.05852309	-0.06062527	-0.041	-0.05368497	-0.05346032	-0.05655073	-0.04	-0.06114293	
0.33904	-0.05856148	-0.06069287	-0.041	-0.05394229	-0.05356107	-0.05651727	-0.04	-0.06116057	
0.34112	-0.05859831	-0.06073747	-0.041	-0.05418912	-0.05362754	-0.0564952	-0.04	-0.06117785	
0.3432	-0.05863364	-0.06076689	-0.041	-0.05442589	-0.05367138	-0.05648063	-0.04	-0.06119477	
0.34528	-0.05868932	-0.06081031	-0.041	-0.05425261	-0.05368859	-0.05647103	-0.04	-0.06121135	
0.34736	-0.05874272	-0.06083896	-0.041	-0.0540864	-0.05369994	-0.05646469	-0.04	-0.06122758	
0.34944	-0.05851666	-0.0608115	-0.041	-0.05432736	-0.05373672	-0.05646243	-0.04	-0.06123249	
0.35152	-0.0582998	-0.06079339	-0.041	-0.0545585	-0.05376098	-0.05646093	-0.04	-0.06123729	
0.3536	-0.05835309	-0.06078989	-0.041	-0.05478022	-0.05377699	-0.05646569	-0.04	-0.06122473	
0.35568	-0.0584202	-0.06082145	-0.041	-0.05499291	-0.05463476	-0.05646117	-0.04	-0.06124068	
0.35776	-0.05848457	-0.06086841	-0.041	-0.05502391	-0.05522405	-0.05643672	-0.04	-0.06125632	
0.35984	-0.05854632	-0.0608994	-0.041	-0.05505366	-0.05561279	-0.0564206	-0.04	-0.06127163	
0.36192	-0.05860555	-0.06092019	-0.041	-0.05519272	-0.05588095	-0.05641193	-0.04	-0.06127013	
0.364	-0.05866237	-0.06093615	-0.041	-0.05529534	-0.05609535	-0.05641799	-0.04	-0.06123568	
0.36608	-0.05871687	-0.06094667	-0.041	-0.05539377	-0.05623678	-0.05642198	-0.04	-0.06120194	
0.36816	-0.05876916	-0.06095494	-0.041	-0.05554043	-0.05634648	-0.05642851	-0.04	-0.0611744	
0.37024	-0.05859734	-0.06095726	-0.041	-0.05572214	-0.05645049	-0.05639907	-0.04	-0.06119139	
0.37232	-0.0586545	-0.06096023	-0.041	-0.05581376	-0.05652847	-0.05637756	-0.04	-0.06120804	
0.3744	-0.05870932	-0.06096219	-0.041	-0.05590164	-0.05657991	-0.05636337	-0.04	-0.06122434	
0.37648	-0.05876191	-0.06096348	-0.041	-0.05598594	-0.05661385	-0.05635402	-0.04	-0.06124031	
0.37856	-0.05881236	-0.06096553	-0.041	-0.05597566	-0.05667373	-0.05635804	-0.04	-0.06125595	
0.38064	-0.05886075	-0.06096689	-0.041	-0.0559658	-0.05671323	-0.05636069	-0.04	-0.06127126	
0.38272	-0.05890717	-0.06096779	-0.041	-0.05595634	-0.0567393	-0.05636244	-0.04	-0.06128626	
0.3848	-0.0589517	-0.06096838	-0.041	-0.05594727	-0.05675649	-0.0563636	-0.04	-0.06130096	
0.38688	-0.05899442	-0.06096877	-0.041	-0.05593856	-0.05676783	-0.05636436	-0.04	-0.06131535	
0.38896	-0.05903539	-0.06096902	-0.041	-0.05593021	-0.05677531	-0.05636486	-0.04	-0.06132944	
0.39104	-0.0590747	-0.06096919	-0.041	-0.0559222	-0.05678024	-0.05636519	-0.04	-0.06134324	
0.39312	-0.0591124	-0.0609693	-0.041	-0.05591452	-0.0567835	-0.05636541	-0.04	-0.06135676	
0.3952	-0.05914856	-0.06096938	-0.041	-0.05590715	-0.05678565	-0.05636555	-0.04	-0.06137	
0.39728	-0.05918326	-0.06096943	-0.041	-0.05590008	-0.05678706	-0.05636565	-0.04	-0.06138297	
0.39936	-0.05921654	-0.06096946	-0.041	-0.0558933	-0.056788	-0.05636571	-0.04	-0.06139567	
0.40144	-0.05924846	-0.06096948	-0.041	-0.05588679	-0.05678862	-0.05636575	-0.04	-0.06140811	
0.40352	-0.05927908	-0.06096949	-0.041	-0.05588055	-0.05678902	-0.05636578	-0.04	-0.0614203	
