Time	BL_Ankle-Ext Ia	BL_Ankle-Ext Ib	BL_Ankle-Flx II	BL_Ankle-Flx Ia	BL_Ankle-Flx Ib	BL_Hip-Ext II	BL_Hip-Flx II	BL_Hip-Flx Ia	
0	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.00208	-0.06	-0.06034032	-0.06034032	-0.06	-0.06034032	-0.06	-0.06	-0.06004117	
0.00416	-0.06	-0.06056482	-0.06056482	-0.06	-0.06056482	-0.06	-0.06	-0.06008149	
0.00624	-0.06	-0.06071292	-0.06071292	-0.06	-0.06071292	-0.06	-0.06	-0.06012098	
0.00832	-0.06	-0.06081062	-0.06081062	-0.06	-0.06081062	-0.06	-0.06	-0.06015966	
0.0104	-0.06	-0.06087507	-0.06087507	-0.06	-0.06087507	-0.06	-0.06	-0.06019755	
0.01248	-0.06	-0.06091759	-0.06091759	-0.06	-0.06091759	-0.06	-0.06	-0.06023465	
0.01456	-0.06	-0.06094563	-0.06094563	-0.06	-0.06094563	-0.06	-0.06	-0.06027099	
0.01664	-0.06	-0.06096413	-0.06096413	-0.06	-0.06096413	-0.06	-0.06	-0.06030659	
0.01872	-0.06	-0.06097634	-0.06097634	-0.06	-0.06097634	-0.06	-0.06	-0.06034144	
0.0208	-0.06	-0.06098439	-0.06098439	-0.06	-0.06098439	-0.06	-0.06	-0.06037559	
0.02288	-0.06	-0.0609897	-0.0609897	-0.06	-0.0609897	-0.06	-0.06	-0.06040902	
0.02496	-0.06	-0.06099321	-0.06099321	-0.06	-0.06099321	-0.06	-0.06	-0.06044178	
0.02704	-0.06	-0.06099552	-0.06099552	-0.06	-0.06099552	-0.06	-0.06	-0.06047385	
0.02912	-0.06	-0.06099704	-0.06099704	-0.06	-0.06099704	-0.06	-0.06	-0.06050527	
0.0312	-0.06	-0.06099805	-0.06099805	-0.06	-0.06099805	-0.06	-0.06	-0.06053604	
0.03328	-0.06	-0.06099872	-0.06099872	-0.06	-0.06099872	-0.06	-0.06	-0.06056617	
0.03536	-0.06	-0.06099915	-0.06099915	-0.06	-0.06099915	-0.06	-0.06	-0.06059569	
0.03744	-0.06	-0.06099944	-0.06099944	-0.06	-0.06099944	-0.06	-0.06	-0.0606246	
0.03952	-0.06	-0.06099963	-0.06099963	-0.06	-0.06099963	-0.06	-0.06	-0.06065291	
0.0416	-0.06	-0.06099975	-0.06099975	-0.06	-0.06099975	-0.06	-0.06	-0.06068064	
0.04368	-0.06	-0.06099984	-0.06099984	-0.06	-0.06099984	-0.06	-0.06	-0.0607078	
0.04576	-0.06	-0.06099989	-0.06099989	-0.06	-0.06099989	-0.06	-0.06	-0.0607344	
0.04784	-0.06	-0.06099993	-0.06099993	-0.06	-0.06099993	-0.06	-0.06	-0.06076045	
0.04992	-0.06	-0.06099995	-0.06099995	-0.06	-0.06099995	-0.06	-0.06	-0.06078597	
0.052	-0.06	-0.06099997	-0.06099997	-0.06	-0.06099997	-0.06	-0.06	-0.06081096	
0.05408	-0.06	-0.06099998	-0.06099998	-0.06	-0.06099998	-0.06	-0.06	-0.06083544	
0.05616	-0.06	-0.06099999	-0.06099999	-0.06	-0.06099999	-0.06	-0.06	-0.06085941	
0.05824	-0.06	-0.06099999	-0.06099999	-0.06	-0.06099999	-0.06	-0.06	-0.06088289	
0.06032	-0.06	-0.06099999	-0.06099999	-0.06	-0.06099999	-0.06	-0.06	-0.06090588	
0.0624	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.0609284	
0.06448	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06095047	
0.06656	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06097207	
0.06864	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06099323	
0.07071999	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06101396	
0.0728	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06103425	
0.07488	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06105413	
0.07696	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.0610736	
0.07904	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06109267	
0.08112	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06111135	
0.0832	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06112964	
0.08528	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06114756	
0.08735999	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06116511	
0.08944	-0.06	-0.061	-0.061	-0.06	-0.061	-0.06	-0.06	-0.06118229	
0.09152	-0.05999936	-0.0608265	-0.05896359	-0.06	-0.06072529	-0.05319361	-0.05811582	-0.06119877	
0.0936	-0.05999874	-0.06071204	-0.05762021	-0.06	-0.06054407	-0.04870356	-0.05687286	-0.06121491	
0.09568	-0.05999815	-0.06063653	-0.05673401	-0.06	-0.06042452	-0.04574157	-0.0560529	-0.06123071	
0.09776	-0.05999758	-0.06058672	-0.0561494	-0.06	-0.06034566	-0.0437876	-0.05551199	-0.06124619	
0.09984	-0.05999703	-0.06055386	-0.05576374	-0.06	-0.06029363	-0.0424986	-0.05515517	-0.06126135	
0.10192	-0.05999651	-0.06053219	-0.05550934	-0.06	-0.06025932	-0.04164828	-0.05491978	-0.0612762	
0.104	-0.05999601	-0.06051789	-0.05534151	-0.06	-0.06023667	-0.04108734	-0.05476449	-0.06129074	
0.10608	-0.05999553	-0.06050846	-0.05523079	-0.06	-0.06022174	-0.0407173	-0.05466206	-0.06130499	
0.10816	-0.05999507	-0.06050223	-0.05515776	-0.06	-0.06021189	-0.04047319	-0.05459448	-0.06131893	
0.11024	-0.05999462	-0.06049813	-0.05510958	-0.06	-0.06020539	-0.04031215	-0.0545499	-0.0613326	
0.11232	-0.0599942	-0.06049542	-0.05507779	-0.06	-0.0602011	-0.04020592	-0.05452049	-0.06134598	
0.1144	-0.05999379	-0.06049364	-0.05505683	-0.06	-0.06019827	-0.04013584	-0.05450109	-0.06135909	
0.11648	-0.0599934	-0.06049246	-0.055043	-0.06	-0.06019641	-0.04008961	-0.0544883	-0.06137192	
0.11856	-0.05999302	-0.06049168	-0.05503387	-0.06	-0.06019517	-0.04005912	-0.05447985	-0.0613845	
0.12064	-0.05999266	-0.06049117	-0.05502785	-0.06	-0.06019436	-0.040039	-0.05447428	-0.06139681	
0.12272	-0.05999232	-0.06049083	-0.05502388	-0.06	-0.06019383	-0.04002573	-0.05447061	-0.06140887	
0.1248	-0.05999199	-0.0604906	-0.05502126	-0.06	-0.06019348	-0.04001697	-0.05446819	-0.06142068	
0.12688	-0.05999167	-0.06049046	-0.05501954	-0.06	-0.06019324	-0.04001119	-0.05446659	-0.06143225	
0.12896	-0.05999137	-0.06049036	-0.0550184	-0.06	-0.06019309	-0.04000739	-0.05446553	-0.06144358	
0.13104	-0.05999172	-0.06049917	-0.05499393	-0.0599904	-0.06018099	-0.04000487	-0.05448075	-0.06145503	
0.13312	-0.05999206	-0.06050498	-0.0549778	-0.0599812	-0.060173	-0.04000321	-0.05449078	-0.06146625	
0.1352	-0.05999238	-0.06050543	-0.05496715	-0.05998196	-0.06016703	-0.04000212	-0.0544974	-0.06147724	
0.13728	-0.05996005	-0.06050285	-0.0549696	-0.0599827	-0.06022886	-0.0400014	-0.05450403	-0.061488	
0.13936	-0.05992904	-0.06050114	-0.05497121	-0.0599834	-0.06026965	-0.04000092	-0.0545084	-0.06149854	
0.14144	-0.05989929	-0.06050002	-0.05497228	-0.05998408	-0.06029655	-0.04000061	-0.05451128	-0.06150886	
0.14352	-0.05987075	-0.06049928	-0.05497298	-0.05998473	-0.06031431	-0.0400004	-0.05451318	-0.06151897	
0.1456	-0.05984337	-0.06049879	-0.05497344	-0.05998535	-0.06032601	-0.04000026	-0.05451443	-0.06152887	
0.14768	-0.05984975	-0.06048268	-0.05501153	-0.05998595	-0.06051436	-0.04000017	-0.05450624	-0.06153141	
0.14976	-0.05985588	-0.06047205	-0.05503665	-0.05998652	-0.0606386	-0.04000011	-0.05450083	-0.06153389	
0.15184	-0.05986175	-0.06046504	-0.05505323	-0.05998707	-0.06072056	-0.04000008	-0.05449726	-0.06153633	
0.15392	-0.05986738	-0.06046041	-0.05506416	-0.0599876	-0.06077463	-0.04000005	-0.05449491	-0.06153871	
0.156	-0.05987279	-0.06045736	-0.05507138	-0.0599881	-0.0608103	-0.04000003	-0.05449336	-0.06154105	
0.15808	-0.05987797	-0.06045535	-0.05507613	-0.05998858	-0.06083383	-0.04000002	-0.05449234	-0.06154333	
0.16016	-0.05988294	-0.06045402	-0.05507927	-0.05998905	-0.06084935	-0.04000001	-0.05449166	-0.06154557	
0.16224	-0.05988771	-0.06045315	-0.05508134	-0.0599895	-0.06085959	-0.04000001	-0.05449121	-0.06154776	
0.16432	-0.05989229	-0.06045257	-0.05508271	-0.05998993	-0.06086634	-0.04000001	-0.05449092	-0.06154991	
0.1664	-0.05989668	-0.06045219	-0.05508361	-0.05999034	-0.0608708	-0.04	-0.05449073	-0.06155201	
0.16848	-0.05990089	-0.06045194	-0.05508421	-0.05999073	-0.06087374	-0.04	-0.0544906	-0.06155407	
0.17056	-0.05990493	-0.06045177	-0.0550846	-0.05999111	-0.06087568	-0.04	-0.05449051	-0.06155609	
0.17264	-0.0599088	-0.06045166	-0.05508485	-0.05999147	-0.06087696	-0.04	-0.05449046	-0.06155807	
0.17472	-0.05991251	-0.06045159	-0.05508503	-0.05999182	-0.0608778	-0.04	-0.05449042	-0.06156	
0.1768	-0.05991608	-0.06045154	-0.05508514	-0.05999215	-0.06087836	-0.04	-0.0544904	-0.0615619	
0.17888	-0.0599195	-0.06045151	-0.05508521	-0.05999247	-0.06087872	-0.04	-0.05449038	-0.06156376	
0.18096	-0.05992278	-0.06045149	-0.05508526	-0.05999278	-0.06087897	-0.04	-0.05449037	-0.06156558	
0.18304	-0.05992592	-0.06045148	-0.05508529	-0.05999307	-0.06087913	-0.04	-0.05449037	-0.06156736	
0.18512	-0.05992617	-0.06044856	-0.0550947	-0.05999335	-0.06087614	-0.04	-0.05448122	-0.06157317	
0.1872	-0.0599264	-0.06044664	-0.0551009	-0.05999362	-0.06087417	-0.04	-0.05447518	-0.06157887	
0.18928	-0.05991937	-0.06043558	-0.05512845	-0.05999389	-0.06087912	-0.04	-0.05446432	-0.06158413	
0.19136	-0.0599068	-0.06042865	-0.05515123	-0.05999414	-0.06088308	-0.04	-0.05445715	-0.06159269	
0.19344	-0.0599106	-0.06042407	-0.05516626	-0.05999437	-0.06088529	-0.04	-0.05445242	-0.06160107	
0.19552	-0.05991424	-0.06042105	-0.05517617	-0.0599946	-0.06088675	-0.04	-0.0544493	-0.06160928	
0.1976	-0.05991774	-0.06041905	-0.05518271	-0.05999482	-0.06088772	-0.04	-0.05444724	-0.06161733	
0.19968	-0.05992109	-0.06041774	-0.05518703	-0.05999503	-0.06088835	-0.04	-0.05444589	-0.0616252	
0.20176	-0.0599243	-0.06041687	-0.05518987	-0.05999523	-0.06088877	-0.04	-0.05444499	-0.06163292	
0.20384	-0.05992739	-0.06041564	-0.05518245	-0.05997473	-0.06088679	-0.04	-0.05446268	-0.06164047	
0.20592	-0.05993035	-0.06041483	-0.05517756	-0.05995505	-0.06088548	-0.04	-0.05447435	-0.06164788	
0.208	-0.05993319	-0.06041429	-0.05517433	-0.05993618	-0.06088462	-0.04	-0.05448205	-0.06165513	
0.21008	-0.05991445	-0.06041726	-0.0551815	-0.05993878	-0.06088671	-0.04	-0.05447574	-0.06163207	
0.21216	-0.05991794	-0.06041942	-0.05517692	-0.05993083	-0.06088626	-0.04	-0.0544784	-0.06163964	
0.21424	-0.05992129	-0.06042085	-0.05517391	-0.0599232	-0.06088596	-0.04	-0.05448015	-0.06164706	
0.21632	-0.05992449	-0.06042179	-0.05517192	-0.05991589	-0.06088576	-0.04	-0.05448131	-0.06165433	
0.2184	-0.05992757	-0.06042241	-0.05517061	-0.05990887	-0.06088563	-0.04	-0.05448207	-0.06166144	
0.22048	-0.05993052	-0.06042282	-0.05516975	-0.05990214	-0.06088555	-0.04	-0.05448257	-0.06166841	
0.22256	-0.05993335	-0.06042966	-0.05515041	-0.05983649	-0.06088172	-0.04	-0.05447833	-0.06166315	
0.22464	-0.0599285	-0.06043131	-0.05514704	-0.05984315	-0.06088152	-0.04	-0.05447554	-0.06167008	
0.22672	-0.05992384	-0.0604324	-0.05514481	-0.05984954	-0.06088139	-0.04	-0.05447369	-0.06167687	
0.2288	-0.05988852	-0.06043237	-0.05515742	-0.05985567	-0.06088347	-0.04	-0.05446333	-0.0616545	
0.23088	-0.05989306	-0.06042352	-0.05516573	-0.05986155	-0.06088077	-0.04	-0.05447479	-0.06166161	
0.23296	-0.05989742	-0.06041768	-0.05517122	-0.0598672	-0.06087899	-0.04	-0.05448234	-0.06166858	
0.23504	-0.0599016	-0.06042923	-0.05515607	-0.05980297	-0.06087812	-0.04	-0.05447818	-0.06165121	
0.23712	-0.05989255	-0.06043103	-0.05515077	-0.059811	-0.060877	-0.04	-0.05446629	-0.06162937	
0.2392	-0.05989693	-0.06043397	-0.05514728	-0.0598187	-0.06087626	-0.04	-0.05445845	-0.061637	
0.24128	-0.05990113	-0.0604359	-0.05514497	-0.05982609	-0.06087577	-0.04	-0.05445328	-0.06164447	
0.24336	-0.05990516	-0.06043893	-0.05514345	-0.05983317	-0.06087545	-0.04	-0.05444987	-0.06165179	
0.24544	-0.05990902	-0.06044493	-0.05512368	-0.05978775	-0.06087219	-0.04	-0.0544659	-0.06165896	
0.24752	-0.0598162	-0.06043856	-0.05513879	-0.05979639	-0.06087378	-0.04	-0.05447191	-0.06164784	
0.2496	-0.05980255	-0.06017882	-0.05517204	-0.05980469	-0.06087942	-0.04	-0.05445284	-0.06163865	
0.25168	-0.0598106	-0.0599658	-0.05519398	-0.05981265	-0.06088315	-0.04	-0.05443794	-0.0616369	
0.25376	-0.05981832	-0.05982527	-0.05520845	-0.05982028	-0.06088561	-0.04	-0.05442812	-0.06163519	
0.25584	-0.05982572	-0.05973256	-0.05521799	-0.0598276	-0.06088723	-0.04	-0.05442163	-0.06163351	
0.25792	-0.05983282	-0.05967141	-0.05522429	-0.05983463	-0.0608883	-0.04	-0.05441736	-0.06163187	
0.26	-0.05983963	-0.05963106	-0.05522845	-0.05984137	-0.060889	-0.04	-0.05441453	-0.06163026	
0.26208	-0.05984617	-0.05960445	-0.05523119	-0.05984783	-0.06088947	-0.04	-0.05441267	-0.06162868	
0.26416	-0.05985244	-0.05958689	-0.05523299	-0.05985403	-0.06088977	-0.04	-0.05441144	-0.06162714	
0.26624	-0.05985845	-0.05957531	-0.05523419	-0.05985998	-0.06088998	-0.04	-0.05441064	-0.06162563	
0.26832	-0.05986422	-0.05956767	-0.05523498	-0.05986568	-0.06089011	-0.04	-0.0544101	-0.06162414	
0.2704	-0.05986975	-0.05956263	-0.05523549	-0.05987116	-0.0608902	-0.04	-0.05440975	-0.06162269	
0.27248	-0.05987506	-0.0595593	-0.05523584	-0.05987641	-0.06089026	-0.04	-0.05440952	-0.06162127	
0.27456	-0.05988015	-0.05955711	-0.05523606	-0.05988145	-0.06089029	-0.04	-0.05440936	-0.06161988	
0.27664	-0.05988503	-0.05955566	-0.05523621	-0.05988627	-0.06089032	-0.04	-0.05440926	-0.06161852	
0.27872	-0.05988972	-0.05955471	-0.05523631	-0.05989091	-0.06089034	-0.04	-0.05440919	-0.06161718	
0.2808	-0.05987428	-0.05956811	-0.05529192	-0.05989535	-0.06090106	-0.04	-0.05438802	-0.06161624	
0.28288	-0.0598794	-0.05956272	-0.0553286	-0.05989962	-0.06090785	-0.04	-0.0543858	-0.06162414	
0.28496	-0.05988432	-0.05955917	-0.0553528	-0.05990371	-0.06091233	-0.04	-0.05438434	-0.06163187	
0.28704	-0.05980634	-0.05956107	-0.05540537	-0.05990763	-0.06091812	-0.04	-0.05437631	-0.06162076	
0.28912	-0.05973154	-0.05956232	-0.05544005	-0.0599114	-0.06092194	-0.04	-0.05437101	-0.06160988	
0.2912	-0.05974248	-0.05957548	-0.05546293	-0.05991501	-0.0609233	-0.04	-0.05437227	-0.06161791	
0.29328	-0.05975297	-0.05958416	-0.05547802	-0.05991847	-0.0609242	-0.04	-0.0543731	-0.06162577	
0.29536	-0.05976304	-0.05958989	-0.05548798	-0.05992179	-0.06092479	-0.04	-0.05437364	-0.06163348	
0.29744	-0.05977269	-0.05959367	-0.05549455	-0.05992498	-0.06092519	-0.04	-0.05437401	-0.06164103	
0.29952	-0.05978195	-0.05959616	-0.05549888	-0.05992803	-0.06092545	-0.04	-0.05437424	-0.06164841	
0.3016	-0.05979084	-0.05959781	-0.05550174	-0.05993097	-0.06092562	-0.04	-0.0543744	-0.06165565	
0.30368	-0.05979936	-0.05959889	-0.05550362	-0.05993378	-0.06092573	-0.04	-0.0543745	-0.06166274	
0.30576	-0.05980754	-0.05959961	-0.05550487	-0.05993648	-0.0609258	-0.04	-0.05437457	-0.06166968	
0.30784	-0.05981538	-0.05960008	-0.05550569	-0.05993907	-0.06092585	-0.04	-0.05437462	-0.06167648	
0.30992	-0.0598229	-0.05960039	-0.05550623	-0.05994155	-0.06092589	-0.04	-0.05437465	-0.06168314	
0.312	-0.05983012	-0.0596006	-0.05550658	-0.05994393	-0.0609259	-0.04	-0.05437467	-0.06168966	
0.31408	-0.05983704	-0.05960073	-0.05550682	-0.05994622	-0.06092592	-0.04	-0.05437468	-0.06169605	
0.31616	-0.05984368	-0.05960082	-0.05550697	-0.05994841	-0.06092593	-0.04	-0.05437469	-0.06170231	
0.31824	-0.05985005	-0.05960088	-0.05550708	-0.05995051	-0.06092593	-0.04	-0.05437469	-0.06170844	
0.32032	-0.05985616	-0.05960092	-0.05550715	-0.05995253	-0.06092594	-0.04	-0.05437469	-0.06171444	
0.3224	-0.05986202	-0.05960095	-0.05550719	-0.05995446	-0.06092594	-0.04	-0.0543747	-0.06172032	
0.32448	-0.05986764	-0.05960096	-0.05550722	-0.05995632	-0.06092594	-0.04	-0.0543747	-0.06172607	
0.32656	-0.05987304	-0.05960097	-0.05550724	-0.0599581	-0.06092595	-0.04	-0.0543747	-0.06173171	
0.32864	-0.05987821	-0.05960098	-0.05550725	-0.0599598	-0.06092595	-0.04	-0.0543747	-0.06173724	
0.33072	-0.05988317	-0.05960098	-0.05550726	-0.05996144	-0.06092595	-0.04	-0.0543747	-0.06174264	
0.3328	-0.05988793	-0.05960099	-0.05550727	-0.05996301	-0.06092595	-0.04	-0.0543747	-0.06174794	
0.33488	-0.0598925	-0.05960099	-0.05550727	-0.05996452	-0.06092595	-0.04	-0.0543747	-0.06175313	
0.33696	-0.05989688	-0.05960099	-0.05550727	-0.05996596	-0.06092595	-0.04	-0.0543747	-0.06175821	
0.33904	-0.05990108	-0.05961124	-0.05550275	-0.05996555	-0.06092285	-0.04	-0.0543747	-0.06176319	
0.34112	-0.05990511	-0.059618	-0.05549977	-0.05996516	-0.0609208	-0.04	-0.0543747	-0.06176807	
0.3432	-0.05990898	-0.05962246	-0.0554978	-0.05996478	-0.06091946	-0.04	-0.0543747	-0.06177284	
0.34528	-0.05991269	-0.05963951	-0.05544138	-0.05976166	-0.06090705	-0.04	-0.05437702	-0.06177752	
0.34736	-0.05991624	-0.05965076	-0.05540416	-0.05956682	-0.06089887	-0.04	-0.05437855	-0.0617821	
0.34944	-0.05981551	-0.05965223	-0.0554256	-0.05958447	-0.06090223	-0.04	-0.05437955	-0.06178658	
0.35152	-0.05971889	-0.0596532	-0.05543974	-0.0596014	-0.06090445	-0.04	-0.05438022	-0.06179098	
0.3536	-0.05970396	-0.05964966	-0.05546272	-0.05961764	-0.06090783	-0.04	-0.05437359	-0.06177926	
0.35568	-0.05970017	-0.05943931	-0.05544128	-0.05963322	-0.06090173	-0.04	-0.05437629	-0.0617838	
0.35776	-0.05971027	-0.05929601	-0.05543173	-0.05964817	-0.06089814	-0.04	-0.05438744	-0.06178825	
0.35984	-0.05971995	-0.05920148	-0.05542544	-0.0596625	-0.06089577	-0.04	-0.0543948	-0.06179261	
0.36192	-0.05968427	-0.05911146	-0.05543503	-0.05967626	-0.0608972	-0.04	-0.05439965	-0.06179688	
0.364	-0.05969713	-0.05902223	-0.05544135	-0.05961297	-0.06089737	-0.04	-0.05439585	-0.06178245	
0.36608	-0.05970947	-0.05896336	-0.05544553	-0.05955227	-0.06089748	-0.04	-0.05439334	-0.06176832	
0.36816	-0.05972131	-0.05894038	-0.05544828	-0.05957051	-0.06089833	-0.04	-0.05438225	-0.06172315	
0.37024	-0.05965479	-0.05894402	-0.0554547	-0.05958801	-0.06089814	-0.04	-0.05439838	-0.06172885	
0.37232	-0.05966886	-0.05893243	-0.05545894	-0.0596048	-0.06089852	-0.04	-0.05440902	-0.06173443	
0.3744	-0.05968235	-0.05892479	-0.05546173	-0.0596209	-0.06089877	-0.04	-0.05441604	-0.06173989	
0.37648	-0.05969529	-0.05892568	-0.05544062	-0.05955117	-0.06089518	-0.04	-0.05440429	-0.0617019	
0.37856	-0.05970771	-0.05868607	-0.05544505	-0.05948813	-0.0608963	-0.04	-0.05440592	-0.06170804	
0.38064	-0.05971962	-0.058528	-0.05544796	-0.05942767	-0.06089703	-0.04	-0.05440699	-0.06171405	
0.38272	-0.05973104	-0.05842373	-0.05544988	-0.05936966	-0.06089751	-0.04	-0.05440769	-0.06171994	
0.3848	-0.059742	-0.05835494	-0.05545115	-0.05931402	-0.06089783	-0.04	-0.05440816	-0.0617257	
0.38688	-0.05975252	-0.05830956	-0.05545199	-0.05926065	-0.06089805	-0.04	-0.05440847	-0.06173135	
0.38896	-0.0597626	-0.05827963	-0.05545254	-0.05920945	-0.06089818	-0.04	-0.05440867	-0.06173687	
0.39104	-0.05977227	-0.05825988	-0.05545291	-0.05916034	-0.06089828	-0.04	-0.05440881	-0.06174229	
0.39312	-0.05978155	-0.05824685	-0.05545315	-0.05911323	-0.06089834	-0.04	-0.0544089	-0.0617476	
0.3952	-0.05979045	-0.05823826	-0.05545331	-0.05906804	-0.06089838	-0.04	-0.05440895	-0.06175279	
0.39728	-0.05979899	-0.05823259	-0.05545341	-0.05902469	-0.0608984	-0.04	-0.05440899	-0.06175788	
