Time	Input	Mod 1	Mod 2	Mod 3	
0	-0.06	-0.05996008	-0.05996008	-0.05996008	
0.0002	-0.06	-0.05992032	-0.05992032	-0.05992032	
0.0004	-0.06	-0.05988072	-0.05988072	-0.05988072	
0.0006	-0.06	-0.05984127	-0.05984127	-0.05984127	
0.0008	-0.06	-0.05980199	-0.05980199	-0.05980199	
0.0009999999	-0.06	-0.05976286	-0.05976286	-0.05976286	
0.0012	-0.06	-0.05972388	-0.05972388	-0.05972388	
0.0014	-0.06	-0.05968507	-0.05968507	-0.05968507	
0.0016	-0.06	-0.0596464	-0.0596464	-0.0596464	
0.0018	-0.06	-0.05960789	-0.05960789	-0.05960789	
0.002	-0.06	-0.05956954	-0.05956954	-0.05956954	
0.0022	-0.06	-0.05953134	-0.05953134	-0.05953134	
0.0024	-0.06	-0.05949329	-0.05949329	-0.05949329	
0.0026	-0.06	-0.05945539	-0.05945539	-0.05945539	
0.0028	-0.06	-0.05941765	-0.05941765	-0.05941765	
0.003	-0.06	-0.05938005	-0.05938005	-0.05938005	
0.0032	-0.06	-0.0593426	-0.0593426	-0.0593426	
0.0034	-0.06	-0.05930531	-0.05930531	-0.05930531	
0.0036	-0.06	-0.05926816	-0.05926816	-0.05926816	
0.0038	-0.06	-0.05923116	-0.05923116	-0.05923116	
0.004	-0.06	-0.05919431	-0.05919431	-0.05919431	
0.0042	-0.06	-0.05915761	-0.05915761	-0.05915761	
0.0044	-0.06	-0.05912105	-0.05912105	-0.05912105	
0.0046	-0.06	-0.05908464	-0.05908464	-0.05908464	
0.0048	-0.06	-0.05904837	-0.05904837	-0.05904837	
0.005	-0.06	-0.05901225	-0.05901225	-0.05901225	
0.0052	-0.06	-0.05897628	-0.05897628	-0.05897628	
0.0054	-0.06	-0.05894044	-0.05894044	-0.05894044	
0.0056	-0.06	-0.05890475	-0.05890475	-0.05890475	
0.0058	-0.06	-0.05886921	-0.05886921	-0.05886921	
0.006	-0.06	-0.0588338	-0.0588338	-0.0588338	
0.0062	-0.06	-0.05879853	-0.05879853	-0.05879853	
0.0064	-0.06	-0.05876341	-0.05876341	-0.05876341	
0.0066	-0.06	-0.05872843	-0.05872843	-0.05872843	
0.0068	-0.06	-0.05869358	-0.05869358	-0.05869358	
0.007	-0.06	-0.05865888	-0.05865888	-0.05865888	
0.0072	-0.06	-0.05862431	-0.05862431	-0.05862431	
0.0074	-0.06	-0.05858988	-0.05858988	-0.05858988	
0.0076	-0.06	-0.05855559	-0.05855559	-0.05855559	
0.0078	-0.06	-0.05852144	-0.05852144	-0.05852144	
0.007999999	-0.06	-0.05848742	-0.05848742	-0.05848742	
0.0082	-0.06	-0.05845354	-0.05845354	-0.05845354	
0.0084	-0.06	-0.05841979	-0.05841979	-0.05841979	
0.008599999	-0.06	-0.05838618	-0.05838618	-0.05838618	
0.0088	-0.06	-0.0583527	-0.0583527	-0.0583527	
0.009	-0.06	-0.05831936	-0.05831936	-0.05831936	
0.0092	-0.06	-0.05828615	-0.05828615	-0.05828615	
0.0094	-0.06	-0.05825307	-0.05825307	-0.05825307	
0.0096	-0.06	-0.05822012	-0.05822012	-0.05822012	
0.0098	-0.06	-0.05818731	-0.05818731	-0.05818731	
0.01	-0.06	-0.05815462	-0.05815462	-0.05815462	
0.0102	-0.06	-0.05812207	-0.05812207	-0.05812207	
0.0104	-0.06	-0.05808965	-0.05808965	-0.05808965	
0.0106	-0.06	-0.05805735	-0.05805735	-0.05805735	
0.0108	-0.06	-0.05802519	-0.05802519	-0.05802519	
0.011	-0.06	-0.05799315	-0.05799315	-0.05799315	
0.0112	-0.06	-0.05796124	-0.05796124	-0.05796124	
0.0114	-0.06	-0.05792946	-0.05792946	-0.05792946	
0.0116	-0.06	-0.05789781	-0.05789781	-0.05789781	
0.0118	-0.06	-0.05786628	-0.05786628	-0.05786628	
0.012	-0.06	-0.05783487	-0.05783487	-0.05783487	
0.0122	-0.06	-0.0578036	-0.0578036	-0.0578036	
0.0124	-0.06	-0.05777245	-0.05777245	-0.05777245	
0.0126	-0.06	-0.05774142	-0.05774142	-0.05774142	
0.0128	-0.06	-0.05771052	-0.05771052	-0.05771052	
0.013	-0.06	-0.05767974	-0.05767974	-0.05767974	
0.0132	-0.06	-0.05764908	-0.05764908	-0.05764908	
0.0134	-0.06	-0.05761854	-0.05761854	-0.05761854	
0.0136	-0.06	-0.05758813	-0.05758813	-0.05758813	
0.0138	-0.06	-0.05755784	-0.05755784	-0.05755784	
0.014	-0.06	-0.05752767	-0.05752767	-0.05752767	
0.0142	-0.06	-0.05749762	-0.05749762	-0.05749762	
0.0144	-0.06	-0.05746768	-0.05746768	-0.05746768	
0.0146	-0.06	-0.05743787	-0.05743787	-0.05743787	
0.0148	-0.06	-0.05740818	-0.05740818	-0.05740818	
