TimeSlice	Time	Perc. Position	Range of Motion 2	CPG Speed 2
0	0	-0.05	-0.06	-0.06
3	0.00018	-0.05	-0.06	-0.0599293
6	0.00036	-0.05	-0.06	-0.0598611
9	0.00054	-0.05	-0.06	-0.0597953
12	0.00072	-0.05	-0.06	-0.0597318
15	0.0009	-0.05	-0.06	-0.0596705
18	0.00108	-0.05	-0.06	-0.0596115
21	0.00126	-0.05	-0.06	-0.0595545
24	0.00144	-0.05	-0.06	-0.0594995
27	0.00162	-0.05	-0.06	-0.0594465
30	0.0018	-0.0500001	-0.06	-0.0593954
33	0.00198	-0.0500001	-0.06	-0.059346
36	0.00216	-0.0500001	-0.06	-0.0592984
39	0.00234	-0.0500002	-0.06	-0.0592525
42	0.00252	-0.0500002	-0.06	-0.0592082
45	0.0027	-0.0500003	-0.06	-0.0591655
48	0.00288	-0.0500004	-0.06	-0.0591243
51	0.00306	-0.0500005	-0.06	-0.0590845
54	0.00324	-0.0500006	-0.06	-0.0590462
57	0.00342	-0.0500007	-0.06	-0.0590092
60	0.0036	-0.0500008	-0.06	-0.0589735
63	0.00378	-0.050001	-0.06	-0.0589391
66	0.00396	-0.0500012	-0.06	-0.0589059
69	0.00414	-0.0500014	-0.06	-0.0588738
72	0.00432	-0.0500016	-0.06	-0.0588429
75	0.0045	-0.0500018	-0.06	-0.0588131
78	0.00468	-0.0500021	-0.06	-0.0587844
81	0.00486	-0.0500023	-0.06	-0.0587566
84	0.00504	-0.0500026	-0.06	-0.0587299
87	0.00522	-0.0500029	-0.06	-0.0587041
90	0.0054	-0.0500033	-0.06	-0.0586792
93	0.00558	-0.0500036	-0.06	-0.0586552
96	0.00576	-0.050004	-0.06	-0.058632
99	0.00594	-0.0500043	-0.06	-0.0586097
102	0.00612	-0.0500048	-0.06	-0.0585881
105	0.0063	-0.0500052	-0.06	-0.0585673
108	0.00648	-0.0500056	-0.06	-0.0585472
111	0.00666	-0.050006	-0.06	-0.0585279
114	0.00684	-0.0500065	-0.06	-0.0585092
117	0.00702	-0.050007	-0.06	-0.0584912
120	0.0072	-0.0500075	-0.06	-0.0584739
123	0.00738	-0.050008	-0.06	-0.0584571
126	0.00756	-0.0500085	-0.06	-0.0584409
129	0.00774	-0.0500091	-0.06	-0.0584253
132	0.00792	-0.0500096	-0.06	-0.0584103
135	0.0081	-0.0500102	-0.06	-0.0583958
138	0.00828	-0.0500107	-0.06	-0.0583818
141	0.00846	-0.0500113	-0.06	-0.0583683
144	0.00864	-0.0500119	-0.06	-0.0583553
147	0.00882	-0.0500125	-0.06	-0.0583427
150	0.009	-0.0500131	-0.06	-0.0583306
153	0.00918	-0.0500137	-0.06	-0.0583189
156	0.00936	-0.0500144	-0.06	-0.0583076
159	0.00954	-0.050015	-0.06	-0.0582968
162	0.00972	-0.0500156	-0.06	-0.0582863
165	0.0099	-0.0500163	-0.06	-0.0582761
168	0.01008	-0.050017	-0.06	-0.0582664
171	0.01026	-0.0500176	-0.06	-0.058257
174	0.01044	-0.0500183	-0.06	-0.0582479
177	0.01062	-0.0500189	-0.06	-0.0582391
180	0.0108	-0.0500196	-0.06	-0.0582306
183	0.01098	-0.0500203	-0.06	-0.0582225
186	0.01116	-0.050021	-0.06	-0.0582146
189	0.01134	-0.0500216	-0.06	-0.058207
192	0.01152	-0.0500223	-0.06	-0.0581997
195	0.0117	-0.050023	-0.06	-0.0581927
198	0.01188	-0.0500237	-0.06	-0.0581858
201	0.01206	-0.0500244	-0.06	-0.0581793
204	0.01224	-0.0500251	-0.06	-0.0581729
207	0.01242	-0.0500258	-0.06	-0.0581668
210	0.0126	-0.0500265	-0.06	-0.0581609
213	0.01278	-0.0500271	-0.06	-0.0581552
216	0.01296	-0.0500278	-0.06	-0.0581497
219	0.01314	-0.0500285	-0.06	-0.0581444
222	0.01332	-0.0500292	-0.06	-0.0581393
225	0.0135	-0.0500299	-0.06	-0.0581344
228	0.01368	-0.0500306	-0.06	-0.0581297
231	0.01386	-0.0500312	-0.06	-0.0581251
234	0.01404	-0.0500319	-0.06	-0.0581206
237	0.01422	-0.0500326	-0.06	-0.0581164
240	0.0144	-0.0500333	-0.06	-0.0581123
243	0.01458	-0.0500339	-0.06	-0.0581083
246	0.01476	-0.0500346	-0.06	-0.0581045
249	0.01494	-0.0500353	-0.06	-0.0581008
252	0.01512	-0.0500359	-0.06	-0.0580972
255	0.0153	-0.0500366	-0.06	-0.0580938
258	0.01548	-0.0500372	-0.06	-0.0580905
261	0.01566	-0.0500379	-0.06	-0.0580873
264	0.01584	-0.0500385	-0.06	-0.0580842
267	0.01602	-0.0500392	-0.06	-0.0580812
270	0.0162	-0.0500398	-0.06	-0.0580783
273	0.01638	-0.0500404	-0.06	-0.0580756
276	0.01656	-0.050041	-0.06	-0.0580729
279	0.01674	-0.0500417	-0.06	-0.0580703
282	0.01692	-0.0500423	-0.06	-0.0580678
285	0.0171	-0.0500429	-0.06	-0.0580654
288	0.01728	-0.0500435	-0.06	-0.0580631
291	0.01746	-0.0500441	-0.06	-0.0580609
294	0.01764	-0.0500447	-0.06	-0.0580587
297	0.01782	-0.0500453	-0.06	-0.0580566
300	0.018	-0.0500459	-0.06	-0.0580546
303	0.01818	-0.0500465	-0.06	-0.0580527
306	0.01836	-0.050047	-0.06	-0.0580509
309	0.01854	-0.0500476	-0.06	-0.0580491
312	0.01872	-0.0500482	-0.06	-0.0580473
315	0.0189	-0.0500487	-0.06	-0.0580456
318	0.01908	-0.0500493	-0.06	-0.058044
321	0.01926	-0.0500498	-0.06	-0.0580425
324	0.01944	-0.0500504	-0.06	-0.058041
327	0.01962	-0.0500509	-0.06	-0.0580395
330	0.0198	-0.0500515	-0.06	-0.0580381
333	0.01998	-0.050052	-0.06	-0.0580368
336	0.02016	-0.0500525	-0.06	-0.0580355
339	0.02034	-0.050053	-0.06	-0.0580342
342	0.02052	-0.0500535	-0.06	-0.058033
345	0.0207	-0.050054	-0.06	-0.0580318
348	0.02088	-0.0500546	-0.06	-0.0580307
351	0.02106	-0.050055	-0.06	-0.0580296
354	0.02124	-0.0500555	-0.06	-0.0580286
357	0.02142	-0.050056	-0.06	-0.0580276
360	0.0216	-0.0500565	-0.06	-0.0580266
363	0.02178	-0.050057	-0.06	-0.0580257
366	0.02196	-0.0500575	-0.06	-0.0580248
369	0.02214	-0.0500579	-0.06	-0.0580239
372	0.02232	-0.0500584	-0.06	-0.058023
375	0.0225	-0.0500589	-0.06	-0.0580222
378	0.02268	-0.0500593	-0.06	-0.0580214
381	0.02286	-0.0500598	-0.06	-0.0580207
384	0.02304	-0.0500602	-0.06	-0.0580199
387	0.02322	-0.0500607	-0.06	-0.0580192
390	0.0234	-0.0500611	-0.06	-0.0580186
393	0.02358	-0.0500615	-0.06	-0.0580179
396	0.02376	-0.050062	-0.06	-0.0580173
399	0.02394	-0.0500624	-0.06	-0.0580167
402	0.02412	-0.0500628	-0.06	-0.0580161
405	0.0243	-0.0500632	-0.06	-0.0580155
408	0.02448	-0.0500636	-0.06	-0.058015
411	0.02466	-0.050064	-0.06	-0.0580144
414	0.02484	-0.0500644	-0.06	-0.0580139
417	0.02502	-0.0500648	-0.06	-0.0580134
420	0.0252	-0.0500652	-0.06	-0.0580129
423	0.02538	-0.0500656	-0.06	-0.0580125
426	0.02556	-0.050066	-0.06	-0.058012
429	0.02574	-0.0500664	-0.06	-0.0580116
432	0.02592	-0.0500668	-0.06	-0.0580112
435	0.0261	-0.0500671	-0.06	-0.0580108
438	0.02628	-0.0500675	-0.06	-0.0580104
441	0.02646	-0.0500679	-0.06	-0.0580101
444	0.02664	-0.0500682	-0.06	-0.0580097
447	0.02682	-0.0500686	-0.06	-0.0580094
450	0.027	-0.050069	-0.06	-0.058009
453	0.02718	-0.0500693	-0.06	-0.0580087
456	0.02736	-0.0500697	-0.06	-0.0580084
459	0.02754	-0.05007	-0.06	-0.0580081
462	0.02772	-0.0500704	-0.06	-0.0580078
465	0.0279	-0.0500707	-0.06	-0.0580075
468	0.02808	-0.050071	-0.06	-0.0580073
471	0.02826	-0.0500714	-0.06	-0.058007
474	0.02844	-0.0500717	-0.06	-0.0580068
477	0.02862	-0.050072	-0.06	-0.0580065
480	0.0288	-0.0500724	-0.06	-0.0580063
483	0.02898	-0.0500727	-0.06	-0.0580061
486	0.02916	-0.050073	-0.06	-0.0580059
489	0.02934	-0.0500733	-0.06	-0.0580057
492	0.02952	-0.0500736	-0.06	-0.0580055
