TimeSlice	Time	Comm. Vel. 2	Perc. Position	Ext MN 2	GTC 2	LTC 2
0	0	-0.05	-0.05	-0.06	-0.06	-0.06
3	0.00018	-0.05	-0.05	-0.06	-0.0596114	-0.060387
6	0.00036	-0.0500189	-0.05	-0.0597651	-0.0592372	-0.0607567
9	0.00054	-0.0500553	-0.05	-0.0593277	-0.0588862	-0.0611007
12	0.00072	-0.0501074	-0.05	-0.0587303	-0.0585659	-0.0614122
15	0.0009	-0.0501731	-0.05	-0.0580203	-0.0582818	-0.0616864
18	0.00108	-0.0502502	-0.05	-0.0572452	-0.0580374	-0.0619205
21	0.00126	-0.0503362	-0.05	-0.0564485	-0.0578341	-0.0621138
24	0.00144	-0.0504288	-0.05	-0.0556668	-0.0576717	-0.0622672
27	0.00162	-0.0505258	-0.05	-0.0549283	-0.0575479	-0.0623831
30	0.0018	-0.050625	-0.0500001	-0.0542524	-0.0574596	-0.0624647
33	0.00198	-0.0507248	-0.0500001	-0.0536506	-0.0574029	-0.0625162
36	0.00216	-0.0508235	-0.0500001	-0.0531272	-0.0573735	-0.0625418
39	0.00234	-0.0509198	-0.0500002	-0.0526814	-0.057367	-0.0625457
42	0.00252	-0.0510128	-0.0500002	-0.0523082	-0.0573792	-0.062532
45	0.0027	-0.0511017	-0.0500003	-0.0520004	-0.0574062	-0.0625044
48	0.00288	-0.051186	-0.0500004	-0.0517496	-0.0574447	-0.0624659
51	0.00306	-0.0512653	-0.0500005	-0.051547	-0.0574918	-0.0624195
54	0.00324	-0.0513393	-0.0500006	-0.0513844	-0.0575451	-0.0623672
57	0.00342	-0.051408	-0.0500007	-0.0512543	-0.0576027	-0.062311
60	0.0036	-0.0514714	-0.0500008	-0.05115	-0.057663	-0.0622524
63	0.00378	-0.0515296	-0.050001	-0.0510661	-0.0577248	-0.0621924
66	0.00396	-0.0515827	-0.0500012	-0.0509982	-0.0577873	-0.0621318
69	0.00414	-0.0516309	-0.0500014	-0.0509426	-0.0578497	-0.0620715
72	0.00432	-0.0516743	-0.0500016	-0.0508965	-0.0579116	-0.0620117
75	0.0045	-0.0517132	-0.0500018	-0.0508577	-0.0579724	-0.0619529
78	0.00468	-0.0517478	-0.0500021	-0.0508246	-0.0580321	-0.0618953
81	0.00486	-0.0517783	-0.0500023	-0.050796	-0.0580904	-0.0618391
84	0.00504	-0.0518049	-0.0500026	-0.0507709	-0.0581473	-0.0617844
87	0.00522	-0.0518279	-0.0500029	-0.0507486	-0.0582025	-0.0617313
90	0.0054	-0.0518474	-0.0500033	-0.0507286	-0.0582561	-0.0616797
93	0.00558	-0.0518638	-0.0500036	-0.0507104	-0.0583081	-0.0616297
96	0.00576	-0.051877	-0.050004	-0.0506938	-0.0583584	-0.0615813
99	0.00594	-0.0518875	-0.0500043	-0.0506786	-0.0584071	-0.0615345
102	0.00612	-0.0518952	-0.0500048	-0.0506646	-0.0584542	-0.0614893
105	0.0063	-0.0519005	-0.0500052	-0.0506515	-0.0584997	-0.0614456
108	0.00648	-0.0519035	-0.0500056	-0.0506394	-0.0585437	-0.0614035
111	0.00666	-0.0519043	-0.050006	-0.050628	-0.0585861	-0.0613628
114	0.00684	-0.0519031	-0.0500065	-0.0506174	-0.0586271	-0.0613235
117	0.00702	-0.0519	-0.050007	-0.0506075	-0.0586666	-0.0612856
120	0.0072	-0.0518952	-0.0500075	-0.0505982	-0.0587047	-0.0612491
123	0.00738	-0.0518888	-0.050008	-0.0505894	-0.0587415	-0.0612139
126	0.00756	-0.0518809	-0.0500085	-0.0505811	-0.0587769	-0.06118
129	0.00774	-0.0518716	-0.0500091	-0.0505733	-0.058811	-0.0611473
132	0.00792	-0.0518611	-0.0500096	-0.050566	-0.0588439	-0.0611158
135	0.0081	-0.0518494	-0.0500102	-0.050559	-0.0588757	-0.0610854
138	0.00828	-0.0518366	-0.0500107	-0.0505524	-0.0589062	-0.0610562
141	0.00846	-0.0518229	-0.0500113	-0.0505462	-0.0589356	-0.0610281
144	0.00864	-0.0518083	-0.0500119	-0.0505403	-0.058964	-0.061001
147	0.00882	-0.051793	-0.0500125	-0.0505347	-0.0589912	-0.0609749
150	0.009	-0.0517769	-0.0500131	-0.0505294	-0.0590175	-0.0609498
153	0.00918	-0.0517601	-0.0500137	-0.0505244	-0.0590428	-0.0609256
156	0.00936	-0.0517428	-0.0500144	-0.0505196	-0.0590672	-0.0609023
159	0.00954	-0.0517249	-0.050015	-0.050515	-0.0590906	-0.0608799
162	0.00972	-0.0517066	-0.0500156	-0.0505107	-0.0591132	-0.0608584
165	0.0099	-0.0516879	-0.0500163	-0.0505066	-0.0591349	-0.0608376
168	0.01008	-0.0516689	-0.050017	-0.0505027	-0.0591559	-0.0608177
171	0.01026	-0.0516496	-0.0500176	-0.050499	-0.059176	-0.0607984
174	0.01044	-0.05163	-0.0500183	-0.0504954	-0.0591954	-0.0607799
177	0.01062	-0.0516102	-0.0500189	-0.050492	-0.059214	-0.0607621
180	0.0108	-0.0515903	-0.0500196	-0.0504888	-0.0592319	-0.060745
183	0.01098	-0.0515702	-0.0500203	-0.0504858	-0.0592492	-0.0607285
186	0.01116	-0.05155	-0.050021	-0.0504828	-0.0592658	-0.0607127
189	0.01134	-0.0515298	-0.0500216	-0.05048	-0.0592818	-0.0606974
192	0.01152	-0.0515096	-0.0500223	-0.0504774	-0.0592972	-0.0606827
195	0.0117	-0.0514894	-0.050023	-0.0504749	-0.059312	-0.0606686
198	0.01188	-0.0514692	-0.0500237	-0.0504724	-0.0593263	-0.060655
201	0.01206	-0.051449	-0.0500244	-0.0504701	-0.05934	-0.0606419
204	0.01224	-0.0514289	-0.0500251	-0.0504679	-0.0593532	-0.0606293
207	0.01242	-0.051409	-0.0500258	-0.0504658	-0.0593659	-0.0606172
210	0.0126	-0.0513891	-0.0500265	-0.0504638	-0.0593782	-0.0606055
213	0.01278	-0.0513694	-0.0500271	-0.0504619	-0.0593899	-0.0605943
216	0.01296	-0.0513498	-0.0500278	-0.05046	-0.0594013	-0.0605835
219	0.01314	-0.0513304	-0.0500285	-0.0504583	-0.0594122	-0.0605731
222	0.01332	-0.0513112	-0.0500292	-0.0504566	-0.0594227	-0.0605631
225	0.0135	-0.0512922	-0.0500299	-0.050455	-0.0594328	-0.0605534
228	0.01368	-0.0512734	-0.0500306	-0.0504534	-0.0594425	-0.0605441
231	0.01386	-0.0512547	-0.0500312	-0.050452	-0.0594519	-0.0605352
234	0.01404	-0.0512364	-0.0500319	-0.0504506	-0.0594609	-0.0605266
237	0.01422	-0.0512182	-0.0500326	-0.0504492	-0.0594696	-0.0605183
240	0.0144	-0.0512003	-0.0500333	-0.0504479	-0.059478	-0.0605103
243	0.01458	-0.0511826	-0.0500339	-0.0504467	-0.059486	-0.0605027
246	0.01476	-0.0511652	-0.0500346	-0.0504455	-0.0594938	-0.0604953
249	0.01494	-0.0511481	-0.0500353	-0.0504443	-0.0595012	-0.0604881
252	0.01512	-0.0511312	-0.0500359	-0.0504432	-0.0595084	-0.0604813
255	0.0153	-0.0511145	-0.0500366	-0.0504422	-0.0595154	-0.0604747
258	0.01548	-0.0510982	-0.0500372	-0.0504411	-0.0595221	-0.0604683
261	0.01566	-0.0510821	-0.0500379	-0.0504402	-0.0595285	-0.0604622
264	0.01584	-0.0510662	-0.0500385	-0.0504392	-0.0595347	-0.0604562
267	0.01602	-0.0510507	-0.0500392	-0.0504383	-0.0595407	-0.0604505
270	0.0162	-0.0510354	-0.0500398	-0.0504375	-0.0595464	-0.060445
273	0.01638	-0.0510204	-0.0500404	-0.0504366	-0.059552	-0.0604397
276	0.01656	-0.0510056	-0.050041	-0.0504358	-0.0595574	-0.0604346
279	0.01674	-0.0509912	-0.0500417	-0.050435	-0.0595625	-0.0604297
282	0.01692	-0.050977	-0.0500423	-0.0504343	-0.0595675	-0.0604249
285	0.0171	-0.050963	-0.0500429	-0.0504335	-0.0595723	-0.0604204
288	0.01728	-0.0509494	-0.0500435	-0.0504328	-0.0595769	-0.0604159
291	0.01746	-0.050936	-0.0500441	-0.0504322	-0.0595814	-0.0604117
294	0.01764	-0.0509229	-0.0500447	-0.0504315	-0.0595857	-0.0604075
297	0.01782	-0.05091	-0.0500453	-0.0504309	-0.0595899	-0.0604036
300	0.018	-0.0508974	-0.0500459	-0.0504302	-0.0595939	-0.0603997
303	0.01818	-0.0508851	-0.0500465	-0.0504296	-0.0595978	-0.060396
306	0.01836	-0.050873	-0.050047	-0.0504291	-0.0596015	-0.0603924
309	0.01854	-0.0508612	-0.0500476	-0.0504285	-0.0596052	-0.060389
312	0.01872	-0.0508496	-0.0500482	-0.0504279	-0.0596086	-0.0603856
315	0.0189	-0.0508382	-0.0500487	-0.0504274	-0.059612	-0.0603824
318	0.01908	-0.0508272	-0.0500493	-0.0504269	-0.0596153	-0.0603793
321	0.01926	-0.0508163	-0.0500498	-0.0504264	-0.0596184	-0.0603763
324	0.01944	-0.0508057	-0.0500504	-0.0504259	-0.0596215	-0.0603733
327	0.01962	-0.0507953	-0.0500509	-0.0504254	-0.0596245	-0.0603705
330	0.0198	-0.0507852	-0.0500515	-0.0504249	-0.0596273	-0.0603678
333	0.01998	-0.0507752	-0.050052	-0.0504245	-0.0596301	-0.0603651
336	0.02016	-0.0507655	-0.0500525	-0.050424	-0.0596327	-0.0603626
339	0.02034	-0.050756	-0.050053	-0.0504236	-0.0596353	-0.0603601
342	0.02052	-0.0507468	-0.0500535	-0.0504231	-0.0596378	-0.0603577
345	0.0207	-0.0507377	-0.050054	-0.0504227	-0.0596403	-0.0603554
348	0.02088	-0.0507289	-0.0500546	-0.0504223	-0.0596426	-0.0603531
351	0.02106	-0.0507202	-0.050055	-0.0504219	-0.0596449	-0.0603509
354	0.02124	-0.0507118	-0.0500555	-0.0504214	-0.0596471	-0.0603488
357	0.02142	-0.0507035	-0.050056	-0.050421	-0.0596492	-0.0603468
360	0.0216	-0.0506955	-0.0500565	-0.0504207	-0.0596513	-0.0603448
363	0.02178	-0.0506876	-0.050057	-0.0504203	-0.0596533	-0.0603428
366	0.02196	-0.0506799	-0.0500575	-0.0504199	-0.0596553	-0.060341
369	0.02214	-0.0506724	-0.0500579	-0.0504195	-0.0596572	-0.0603391
372	0.02232	-0.0506651	-0.0500584	-0.0504191	-0.059659	-0.0603374
375	0.0225	-0.0506579	-0.0500589	-0.0504188	-0.0596608	-0.0603356
378	0.02268	-0.0506509	-0.0500593	-0.0504184	-0.0596626	-0.060334
381	0.02286	-0.0506441	-0.0500598	-0.050418	-0.0596643	-0.0603323
384	0.02304	-0.0506374	-0.0500602	-0.0504177	-0.0596659	-0.0603308
387	0.02322	-0.0506309	-0.0500607	-0.0504173	-0.0596675	-0.0603292
390	0.0234	-0.0506246	-0.0500611	-0.050417	-0.0596691	-0.0603277
393	0.02358	-0.0506184	-0.0500615	-0.0504166	-0.0596706	-0.0603263
396	0.02376	-0.0506123	-0.050062	-0.0504163	-0.0596721	-0.0603248
399	0.02394	-0.0506064	-0.0500624	-0.050416	-0.0596735	-0.0603235
402	0.02412	-0.0506007	-0.0500628	-0.0504156	-0.0596749	-0.0603221
405	0.0243	-0.0505951	-0.0500632	-0.0504153	-0.0596763	-0.0603208
408	0.02448	-0.0505896	-0.0500636	-0.050415	-0.0596776	-0.0603195
411	0.02466	-0.0505842	-0.050064	-0.0504146	-0.0596789	-0.0603183
414	0.02484	-0.050579	-0.0500644	-0.0504143	-0.0596802	-0.060317
417	0.02502	-0.0505739	-0.0500648	-0.050414	-0.0596814	-0.0603158
420	0.0252	-0.0505689	-0.0500652	-0.0504137	-0.0596826	-0.0603147
423	0.02538	-0.050564	-0.0500656	-0.0504134	-0.0596838	-0.0603135
426	0.02556	-0.0505593	-0.050066	-0.050413	-0.0596849	-0.0603124
429	0.02574	-0.0505547	-0.0500664	-0.0504127	-0.0596861	-0.0603113
432	0.02592	-0.0505502	-0.0500668	-0.0504124	-0.0596872	-0.0603103
435	0.0261	-0.0505457	-0.0500671	-0.0504121	-0.0596882	-0.0603092
438	0.02628	-0.0505414	-0.0500675	-0.0504118	-0.0596893	-0.0603082
441	0.02646	-0.0505372	-0.0500679	-0.0504115	-0.0596903	-0.0603072
