Time	CPG Speed 2	Perc. Position	Range of Motion 2	
0	-0.06	-0.05	-0.06	
0.00018	-0.05992928	-0.05	-0.06	
0.00036	-0.05986106	-0.05	-0.06	
0.00054	-0.05979526	-0.05	-0.06	
0.00072	-0.05973177	-0.05	-0.06	
0.0009	-0.05967054	-0.05	-0.06	
0.00108	-0.05961147	-0.05000001	-0.06	
0.00126	-0.05955449	-0.05000001	-0.06	
0.00144	-0.05949952	-0.05000002	-0.06	
0.00162	-0.0594465	-0.05000003	-0.06	
0.0018	-0.05939535	-0.05000005	-0.06	
0.00198	-0.05934601	-0.05000008	-0.06	
0.00216	-0.05929842	-0.05000011	-0.06	
0.00234	-0.05925251	-0.05000016	-0.06	
0.00252	-0.05920822	-0.05000021	-0.06	
0.0027	-0.0591655	-0.05000028	-0.06	
0.00288	-0.05912428	-0.05000035	-0.06	
0.00306	-0.05908453	-0.05000045	-0.06	
0.00324	-0.05904618	-0.05000056	-0.06	
0.00342	-0.05900919	-0.05000069	-0.06	
0.0036	-0.05897351	-0.05000083	-0.06	
0.00378	-0.05893908	-0.05000099	-0.06	
0.00396	-0.05890588	-0.05000116	-0.06	
0.00414	-0.05887384	-0.05000136	-0.06	
0.00432	-0.05884295	-0.05000157	-0.06	
0.0045	-0.05881314	-0.05000181	-0.06	
0.00468	-0.05878439	-0.05000206	-0.06	
0.00486	-0.05875665	-0.05000233	-0.06	
0.00504	-0.05872989	-0.05000262	-0.06	
0.00522	-0.05870409	-0.05000293	-0.06	
0.0054	-0.05867919	-0.05000326	-0.06	
0.00558	-0.05865518	-0.0500036	-0.06	
0.00576	-0.05863201	-0.05000397	-0.06	
0.00594	-0.05860966	-0.05000435	-0.06	
0.00612	-0.0585881	-0.05000475	-0.06	
0.0063	-0.05856731	-0.05000516	-0.06	
0.00648	-0.05854725	-0.0500056	-0.06	
0.00666	-0.0585279	-0.05000605	-0.06	
0.00684	-0.05850923	-0.05000651	-0.06	
0.00702	-0.05849123	-0.05000699	-0.06	
0.0072	-0.05847386	-0.05000749	-0.06	
0.00738	-0.0584571	-0.050008	-0.06	
0.00756	-0.05844094	-0.05000852	-0.06	
0.00774	-0.05842534	-0.05000906	-0.06	
0.00792	-0.05841031	-0.0500096	-0.06	
0.0081	-0.0583958	-0.05001017	-0.06	
0.00828	-0.0583818	-0.05001074	-0.06	
0.00846	-0.0583683	-0.05001132	-0.06	
0.00864	-0.05835528	-0.05001191	-0.06	
0.00882	-0.05834272	-0.05001251	-0.06	
0.009	-0.0583306	-0.05001312	-0.06	
0.00918	-0.05831891	-0.05001374	-0.06	
0.00936	-0.05830763	-0.05001437	-0.06	
0.00954	-0.05829675	-0.05001501	-0.06	
0.00972	-0.05828626	-0.05001565	-0.06	
0.0099	-0.05827614	-0.0500163	-0.06	
0.01008	-0.05826638	-0.05001695	-0.06	
0.01026	-0.05825695	-0.05001761	-0.06	
0.01044	-0.05824787	-0.05001827	-0.06	
0.01062	-0.05823911	-0.05001894	-0.06	
0.0108	-0.05823065	-0.05001961	-0.06	
0.01098	-0.0582225	-0.05002029	-0.06	
0.01116	-0.05821463	-0.05002097	-0.06	
0.01134	-0.05820704	-0.05002165	-0.06	
0.01152	-0.05819972	-0.05002233	-0.06	
0.0117	-0.05819266	-0.05002302	-0.06	
0.01188	-0.05818584	-0.0500237	-0.06	
0.01206	-0.05817927	-0.05002439	-0.06	
0.01224	-0.05817293	-0.05002508	-0.06	
0.01242	-0.05816682	-0.05002577	-0.06	
0.0126	-0.05816092	-0.05002645	-0.06	
0.01278	-0.05815523	-0.05002714	-0.06	
0.01296	-0.05814974	-0.05002783	-0.06	
0.01314	-0.05814445	-0.05002852	-0.06	
0.01332	-0.05813934	-0.0500292	-0.06	
0.0135	-0.05813441	-0.05002989	-0.06	
0.01368	-0.05812966	-0.05003056	-0.06	
0.01386	-0.05812507	-0.05003124	-0.06	
0.01404	-0.05812065	-0.05003192	-0.06	
0.01422	-0.05811638	-0.05003259	-0.06	
0.0144	-0.05811227	-0.05003326	-0.06	
0.01458	-0.0581083	-0.05003393	-0.06	
0.01476	-0.05810447	-0.0500346	-0.06	
0.01494	-0.05810077	-0.05003526	-0.06	
0.01512	-0.05809721	-0.05003592	-0.06	
0.0153	-0.05809378	-0.05003658	-0.06	
0.01548	-0.05809046	-0.05003722	-0.06	
0.01566	-0.05808726	-0.05003787	-0.06	
0.01584	-0.05808417	-0.05003851	-0.06	
0.01602	-0.0580812	-0.05003915	-0.06	
0.0162	-0.05807833	-0.05003979	-0.06	
0.01638	-0.05807556	-0.05004042	-0.06	
0.01656	-0.05807289	-0.05004104	-0.06	
0.01674	-0.05807031	-0.05004166	-0.06	
0.01692	-0.05806782	-0.05004228	-0.06	
0.0171	-0.05806543	-0.05004289	-0.06	
0.01728	-0.05806311	-0.0500435	-0.06	
0.01746	-0.05806088	-0.0500441	-0.06	
0.01764	-0.05805873	-0.05004469	-0.06	
0.01782	-0.05805665	-0.05004529	-0.06	
0.018	-0.05805465	-0.05004587	-0.06	
0.01818	-0.05805271	-0.05004645	-0.06	
0.01836	-0.05805085	-0.05004703	-0.06	
0.01854	-0.05804905	-0.0500476	-0.06	
0.01872	-0.05804732	-0.05004817	-0.06	
0.0189	-0.05804564	-0.05004872	-0.06	
0.01908	-0.05804403	-0.05004928	-0.06	
0.01926	-0.05804247	-0.05004983	-0.06	
0.01944	-0.05804097	-0.05005038	-0.06	
0.01962	-0.05803952	-0.05005092	-0.06	
0.0198	-0.05803813	-0.05005145	-0.06	
0.01998	-0.05803678	-0.05005198	-0.06	
0.02016	-0.05803548	-0.0500525	-0.06	
0.02034	-0.05803422	-0.05005302	-0.06	
0.02052	-0.05803301	-0.05005354	-0.06	
0.0207	-0.05803185	-0.05005405	-0.06	
0.02088	-0.05803072	-0.05005455	-0.06	
0.02106	-0.05802963	-0.05005505	-0.06	
0.02124	-0.05802859	-0.05005554	-0.06	
0.02142	-0.05802758	-0.05005603	-0.06	
0.0216	-0.0580266	-0.05005652	-0.06	
0.02178	-0.05802566	-0.05005699	-0.06	
0.02196	-0.05802475	-0.05005747	-0.06	
0.02214	-0.05802388	-0.05005794	-0.06	
0.02232	-0.05802303	-0.0500584	-0.06	
0.0225	-0.05802222	-0.05005886	-0.06	
0.02268	-0.05802143	-0.05005932	-0.06	
0.02286	-0.05802067	-0.05005977	-0.06	
0.02304	-0.05801994	-0.05006021	-0.06	
0.02322	-0.05801924	-0.05006066	-0.06	
0.0234	-0.05801856	-0.05006109	-0.06	
0.02358	-0.0580179	-0.05006152	-0.06	
